Program,Gene,Gene_display,Loading,Abs_loading
Program2,N900_RS16835,treP,4.4065775871276855,4.4065775871276855
Program2,N900_RS10565,rdgC,4.402985095977783,4.402985095977783
Program2,N900_RS05350,DDE-type integrase/transposase/recombinase,4.40189790725708,4.40189790725708
Program2,N900_RS03060,sodium-dependent transporter_2,4.383243560791016,4.383243560791016
Program2,N900_RS12850,slyx,4.380026817321777,4.380026817321777
Program2,N900_RS14390,VC_A0080,4.373684406280518,4.373684406280518
Program2,N900_RS02750,nupc,4.37164306640625,4.37164306640625
Program2,N900_RS05615,NAD-dependent succinate-semialdehyde dehydrogenase,4.370408535003662,4.370408535003662
Program2,N900_RS11065,VC_2376,4.362601280212402,4.362601280212402
Program2,N900_RS17040,diguanylate cyclase_5,4.361865043640137,4.361865043640137
Program2,N900_RS11175,brxC,4.337610244750977,4.337610244750977
Program2,N900_RS17325,lysr_5,4.3322882652282715,4.3322882652282715
Program2,N900_RS14580,tssM,4.33044958114624,4.33044958114624
Program2,N900_RS06640,tRNA-uridine aminocarboxypropyltransferase_BLAST,4.32356071472168,4.32356071472168
Program2,N900_RS05345,marR,4.323425769805908,4.323425769805908
Program2,N900_RS06050,response regulator_1,4.322323799133301,4.322323799133301
Program2,N900_RS08700,prepilin peptidase_1,4.305487155914307,4.305487155914307
Program2,N900_RS15185,tam,4.301253795623779,4.301253795623779
Program2,N900_RS18065,exbD1,4.2880120277404785,4.2880120277404785
Program2,N900_RS01525,rnr,4.287374496459961,4.287374496459961
Program2,N900_RS01110,fieF,4.2728142738342285,4.2728142738342285
Program2,N900_RS00465,ccp,4.270670413970947,4.270670413970947
Program2,N900_RS00175,ccoG,4.270168304443359,4.270168304443359
Program2,N900_RS06810,msrC_BLAST,4.263723850250244,4.263723850250244
Program2,N900_RS16245,cobW,4.258854866027832,4.258854866027832
Program2,N900_RS11135,VC_A0809,4.2575578689575195,4.2575578689575195
Program2,N900_RS17830,hapA,4.249159812927246,4.249159812927246
Program2,N900_RS16255,kup,4.242712020874023,4.242712020874023
Program2,N900_RS07765,sdaC_2,4.240739345550537,4.240739345550537
Program2,N900_RS03965,gltA,4.235514163970947,4.235514163970947
