Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
VAE,N900_RS00270,aroE,-5.922921657562256,1.8772088289260864,-5.62921667098999,3.393735408782959,3.389598608016968,-1.8191819190979004,-3.781000852584839,-0.2896223664283752,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155
VAE,N900_RS00275,VC_0057,-4.381924152374268,-0.337181806564331,-7.486357688903809,3.542166233062744,2.4994022846221924,1.9536151885986328,-0.7197884321212769,-1.3455017805099487,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776
VAE,N900_RS00280,yrdA,-3.44783878326416,-2.3154895305633545,-6.257906436920166,4.406350612640381,-0.0019883587956428,-0.6130273342132568,-1.8814852237701416,-3.09584641456604,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939
VAE,N900_RS00320,crcB,-3.689784049987793,-1.5527622699737549,-6.493699550628662,3.292217969894409,3.352809429168701,2.074526071548462,-1.2654078006744385,-2.8942558765411377,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577
VAE,N900_RS00325,thiC,-2.415928840637207,0.3962718546390533,-5.094775676727295,6.718681812286377,-0.1018996685743331,-0.7116693258285522,-0.0182056501507759,-0.7118179202079773,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671
VAE,N900_RS00330,thiE,-3.3426523208618164,0.8447493314743042,0.6450275182723999,5.979562759399414,-2.260737180709839,-5.083044528961182,-1.2409980297088623,1.6968213319778442,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687
VAE,N900_RS00335,thiF,-4.5693583488464355,2.5625126361846924,-3.2903876304626465,0.8804959058761597,0.9145299196243286,0.3182151913642883,0.3530536890029907,-1.1131576299667358,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261
VAE,N900_RS00340,thiS,-3.0030338764190674,-2.69804310798645,-8.971867561340332,1.7798937559127808,3.289301872253418,-0.67180997133255,-1.9869511127471924,-2.2139689922332764,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345
VAE,N900_RS00345,thiG,-1.9809380769729616,0.1384832561016082,-4.149139881134033,1.7037551403045654,2.132044792175293,1.0499181747436523,-0.6010337471961975,-1.9228224754333496,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999
VAE,N900_RS00350,thiH,-5.971871376037598,-1.2416257858276367,-5.848169803619385,5.029082775115967,0.7088139653205872,1.551313400268555,-1.958513021469116,0.8080893754959106,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773
VAE,N900_RS00355,aminopeptidase P,-3.905161619186402,-3.1258914470672607,-5.986138343811035,-0.4357757568359375,2.2307705879211426,1.3289568424224854,-3.2903037071228027,-0.6545011401176453,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001
VAE,N900_RS00360,LysR family transcriptional regulator_1,-4.229036808013916,-0.8962376713752747,-5.4398627281188965,2.7474613189697266,1.8831324577331543,-1.9601720571517944,-1.2913918495178225,-0.3478121757507324,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586
