Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00255,purE,3.268588066101074,0.4960647523403168,0.4820449948310852,-3.948749303817749,0.1014526933431625,-0.0202838461846113,0.1776846945285797,-0.3780518174171448,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378
CPVAE,N900_RS00260,tsaC,4.452035427093506,3.4382429122924805,-1.3969703912734983,-1.033146619796753,0.2782804369926452,-2.275570869445801,-0.0183398015797138,2.6565499305725098,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
CPVAE,N900_RS00265,hemF,-0.3518493771553039,1.01182758808136,-1.3207759857177734,-1.255959153175354,1.5192075967788696,-1.7065484523773191,2.1299610137939453,1.888363242149353,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
CPVAE,N900_RS00270,aroE,2.672741413116455,3.7993323802948,-1.8423031568527224,-3.3707275390625,-0.8788540363311768,-0.4441338181495666,0.4463737905025482,1.3560891151428225,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155
CPVAE,N900_RS00275,VC_0057,5.443517208099365,3.777472972869873,-2.2388498783111572,-0.1737432181835174,-0.8241912126541138,-2.2158665657043457,0.0825747773051261,1.571671724319458,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776
CPVAE,N900_RS00280,yrdA,4.027259826660156,2.307393789291382,-2.281466245651245,0.0172038152813911,-0.975409984588623,-0.5019264817237854,-0.8934364318847656,1.0838614702224731,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939
CPVAE,N900_RS00320,crcB,5.273448944091797,3.349384069442749,-0.5656599998474121,0.1663569808006286,-0.064307615160942,-0.8408451676368713,0.3431281745433807,1.495406150817871,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577
CPVAE,N900_RS00325,thiC,5.036953926086426,2.1615071296691895,-1.2981232404708862,-0.4581532478332519,-1.8467700481414795,0.1622135192155838,0.4937181174755096,1.474522352218628,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671
CPVAE,N900_RS00330,thiE,0.0545020401477813,1.4711264371871948,-0.361231654882431,-1.8994113206863403,-1.1425468921661377,0.5345153212547302,0.911146342754364,-0.0050590261816978,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687
CPVAE,N900_RS00335,thiF,0.377031922340393,2.246459722518921,-2.847445249557495,-2.330727815628052,-0.200956255197525,-2.4081244468688965,-0.3794600367546081,0.0863939523696899,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261
