Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS00250,purK,2.0858846,2.3601816,-0.55112517,-3.4673095,-0.6615137,-0.5544311,1.487211,-0.23510367,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8,1
N900_RS00255,purE,3.268588,0.49606475,0.482045,-3.9487493,0.10145269,-0.020283846,0.1776847,-0.37805182,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378,1
N900_RS00260,tsaC,4.4520354,3.438243,-1.3969704,-1.0331466,0.27828044,-2.2755709,-0.018339802,2.65655,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326,0
N900_RS00265,hemF,-0.35184938,1.0118276,-1.320776,-1.2559592,1.5192076,-1.7065485,2.129961,1.8883632,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634,1
N900_RS00270,aroE,2.6727414,3.7993324,-1.8423032,-3.3707275,-0.87885404,-0.44413382,0.4463738,1.3560891,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155,0
N900_RS00275,VC_0057,5.443517,3.777473,-2.2388499,-0.17374322,-0.8241912,-2.2158666,0.08257478,1.5716717,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776,0
N900_RS00280,yrdA,4.02726,2.3073938,-2.2814662,0.017203815,-0.97541,-0.5019265,-0.89343643,1.0838615,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939,0
N900_RS00320,crcB,5.273449,3.349384,-0.56566,0.16635698,-0.064307615,-0.84084517,0.34312817,1.4954062,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577,0
N900_RS00325,thiC,5.036954,2.1615071,-1.2981232,-0.45815325,-1.84677,0.16221352,0.49371812,1.4745224,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671,0
N900_RS00330,thiE,0.05450204,1.4711264,-0.36123165,-1.8994113,-1.1425469,0.5345153,0.91114634,-0.005059026,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687,1
N900_RS00335,thiF,0.37703192,2.2464597,-2.8474452,-2.3307278,-0.20095626,-2.4081244,-0.37946004,0.08639395,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261,1
N900_RS00340,thiS,4.031133,3.6027176,-1.7004033,-0.6957536,-1.2992153,-2.6956813,-0.62856597,2.546888,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345,0
N900_RS00345,thiG,3.6275756,1.7654328,0.14583094,-0.9103657,-0.71980405,-0.656033,0.93821496,1.4263772,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999,0
N900_RS00350,thiH,4.5589685,4.155329,-3.3219657,0.30583143,-0.9811895,-2.3713071,0.68766207,1.9772066,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773,0
N900_RS00355,aminopeptidase P,2.4779942,3.475975,-1.403729,0.38248694,0.4183559,-2.9434955,0.7765495,2.9535959,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001,0
N900_RS00360,LysR family transcriptional regulator_1,1.4532875,2.1710434,-1.9360985,-0.7409967,-0.18332228,-0.58797145,-0.17623268,2.0596256,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586,1
N900_RS00365,mdtL_1,2.7521265,1.4584001,-2.4965055,-0.06612283,-0.6485435,-1.582877,0.9835625,1.9400805,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001,0
N900_RS00370,VC_0070,-2.2268624,0.999849,-2.6172695,0.98407346,0.70653975,-3.7006004,-0.09178015,1.1560988,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569,1
N900_RS00375,asnC,-0.3922065,1.8765218,0.85903955,-1.5591586,-0.3317992,2.8228397,-0.29354423,-0.052565284,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972,1
N900_RS00380,VC_0072,4.3860354,3.1893208,-1.3321851,-1.0844078,0.418058,-0.57765806,0.16927734,1.953022,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049,0
N900_RS00385,rsmJ,4.946742,4.16643,-2.498682,-0.91918314,-0.63705945,-3.647363,0.3894957,2.1759715,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134,0
N900_RS00390,VC_0074,2.411133,1.7191911,-2.141272,-2.7560122,-1.4771721,0.43588862,-0.63283736,2.5491655,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143,1
N900_RS00395,eamA_2,3.3490844,2.0756667,-0.5814054,-0.3827507,-0.78564954,-0.39419928,0.08627913,-1.0519736,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505,1
