Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
VC_2063	GO:0000155; GO:0000160; GO:0005737; GO:0006935; GO:0050920	chemotaxis [GO:0006935]; phosphorelay signal transduction system [GO:0000160]; regulation of chemotaxis [GO:0050920]	cytoplasm [GO:0005737]	phosphorelay sensor kinase activity [GO:0000155]
VC_2056	GO:0005886; GO:0015232; GO:0017004; GO:1903607	cytochrome c biosynthetic process [GO:1903607]; cytochrome complex assembly [GO:0017004]	plasma membrane [GO:0005886]	heme transmembrane transporter activity [GO:0015232]
ccmC VC_2055	GO:0005886; GO:0015232; GO:0017004; GO:0020037	cytochrome complex assembly [GO:0017004]	plasma membrane [GO:0005886]	heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]
VC_2054	GO:0005886; GO:0015886; GO:0017004; GO:1903607	cytochrome c biosynthetic process [GO:1903607]; cytochrome complex assembly [GO:0017004]; heme transport [GO:0015886]	plasma membrane [GO:0005886]	
VC_2052	GO:0005886; GO:0015232; GO:0016491; GO:0017004; GO:0020037	cytochrome complex assembly [GO:0017004]	plasma membrane [GO:0005886]	heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; oxidoreductase activity [GO:0016491]
VC_2045	GO:0004784; GO:0005737; GO:0046914		cytoplasm [GO:0005737]	superoxide dismutase activity [GO:0004784]; transition metal ion binding [GO:0046914]
VC_2044	GO:0005737; GO:0015036; GO:0046872; GO:0051537		cytoplasm [GO:0005737]	2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; metal ion binding [GO:0046872]
VC_2033	GO:0004022; GO:0006066; GO:0008774; GO:0015976; GO:0046872	alcohol metabolic process [GO:0006066]; carbon utilization [GO:0015976]		acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]
VC_2027	GO:0005737; GO:0009117; GO:0047429	nucleotide metabolic process [GO:0009117]	cytoplasm [GO:0005737]	nucleoside triphosphate diphosphatase activity [GO:0047429]
rpmF VC_2025	GO:0003735; GO:0006412; GO:0022625	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]
VC_2022	GO:0004314; GO:0005829; GO:0006633	fatty acid biosynthetic process [GO:0006633]	cytosol [GO:0005829]	[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]
mltG VC_2017	GO:0005886; GO:0008932; GO:0009252; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]	plasma membrane [GO:0005886]	lytic endotransglycosylase activity [GO:0008932]
VC_2015	GO:0003677; GO:0003887; GO:0006261; GO:0008408; GO:0009360	DNA-templated DNA replication [GO:0006261]	DNA polymerase III complex [GO:0009360]	3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]
VC_2013	GO:0005886; GO:0008982; GO:0009401; GO:0016301; GO:0055056; GO:0090564; GO:1904659	D-glucose transmembrane transport [GO:1904659]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	plasma membrane [GO:0005886]	D-glucose transmembrane transporter activity [GO:0055056]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-glucose phosphotransferase system transporter activity [GO:0090564]
VC_2001	GO:0005975; GO:0030246; GO:0047938	carbohydrate metabolic process [GO:0005975]		carbohydrate binding [GO:0030246]; glucose-6-phosphate 1-epimerase activity [GO:0047938]
VC_2000	GO:0004365; GO:0006006; GO:0050661; GO:0051287	glucose metabolic process [GO:0006006]		glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]
VC_1995	GO:0004067; GO:0005829; GO:0009066	aspartate family amino acid metabolic process [GO:0009066]	cytosol [GO:0005829]	asparaginase activity [GO:0004067]
purU VC_1992	GO:0006189; GO:0006730; GO:0008864	'de novo' IMP biosynthetic process [GO:0006189]; one-carbon metabolic process [GO:0006730]		formyltetrahydrofolate deformylase activity [GO:0008864]
VC_1990	GO:0003677; GO:0003678; GO:0005524; GO:0005737; GO:0006281; GO:0016818; GO:0046872; GO:0051536	DNA repair [GO:0006281]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]
VC_1985	GO:0006631; GO:0016020; GO:0016405	fatty acid metabolic process [GO:0006631]	membrane [GO:0016020]	CoA-ligase activity [GO:0016405]
rnd VC_1984	GO:0000166; GO:0000175; GO:0003676; GO:0005737; GO:0033890; GO:0042780	tRNA 3'-end processing [GO:0042780]	cytoplasm [GO:0005737]	3'-5'-RNA exonuclease activity [GO:0000175]; nucleic acid binding [GO:0003676]; nucleotide binding [GO:0000166]; ribonuclease D activity [GO:0033890]
VC_1977	GO:0004021; GO:0019272; GO:0030170; GO:0030632	D-alanine biosynthetic process [GO:0030632]; L-alanine biosynthetic process from pyruvate [GO:0019272]		L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]
menH VC_1974	GO:0009234; GO:0016787; GO:0070205	menaquinone biosynthetic process [GO:0009234]		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity [GO:0070205]; hydrolase activity [GO:0016787]
VC_1964	GO:0016020		membrane [GO:0016020]	
minE VC_1961	GO:0000918; GO:0005886; GO:0032955	division septum site selection [GO:0000918]; regulation of division septum assembly [GO:0032955]	plasma membrane [GO:0005886]	
VC_1960	GO:0000917; GO:0005524; GO:0005829; GO:0009898; GO:0016887	division septum assembly [GO:0000917]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
minC VC_1959	GO:0000902; GO:0000917; GO:0051302; GO:1901891	cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell division [GO:0051302]; regulation of cell septum assembly [GO:1901891]		
VC_1953	GO:0005337; GO:0005886; GO:0015293; GO:1901642	nucleoside transmembrane transport [GO:1901642]	plasma membrane [GO:0005886]	nucleoside transmembrane transporter activity [GO:0005337]; symporter activity [GO:0015293]
VC_1952	GO:0004553; GO:0005576; GO:0005975; GO:0008061; GO:0030246	carbohydrate metabolic process [GO:0005975]	extracellular region [GO:0005576]	carbohydrate binding [GO:0030246]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
VC_1951	GO:0005506; GO:0005886; GO:0009055; GO:0009061; GO:0009276; GO:0020037	anaerobic respiration [GO:0009061]	Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]
VC_1950	GO:0009055; GO:0009061; GO:0030288; GO:0043546; GO:0046872; GO:0050626	anaerobic respiration [GO:0009061]	outer membrane-bounded periplasmic space [GO:0030288]	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; trimethylamine-N-oxide reductase (cytochrome c) activity [GO:0050626]
VC_1940	GO:0016787; GO:0046872			hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
VC_1936	GO:0004605; GO:0005886; GO:0009273; GO:0016024	CDP-diacylglycerol biosynthetic process [GO:0016024]; peptidoglycan-based cell wall biogenesis [GO:0009273]	plasma membrane [GO:0005886]	phosphatidate cytidylyltransferase activity [GO:0004605]
dctQ VC_1928	GO:0005886; GO:0015740; GO:0022857	C4-dicarboxylate transport [GO:0015740]	plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
dctM VC_1927	GO:0005886; GO:0022857		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1926	GO:0000160; GO:0000987; GO:0001216; GO:0005524; GO:0005737; GO:0032993; GO:0045893	phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]	ATP binding [GO:0005524]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]
VC_1925	GO:0000155; GO:0005524; GO:0005886; GO:0007165; GO:0046872	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]
hupB VC_1919	GO:0003677; GO:0005829; GO:0030261; GO:0030527	chromosome condensation [GO:0030261]	cytosol [GO:0005829]	DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]
VC_1915	GO:0003729; GO:0003735; GO:0006412; GO:0022627	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
ihfB himD VC_1914	GO:0003677; GO:0005694; GO:0005829; GO:0006310; GO:0006355; GO:0006417; GO:0030527	DNA recombination [GO:0006310]; regulation of DNA-templated transcription [GO:0006355]; regulation of translation [GO:0006417]	chromosome [GO:0005694]; cytosol [GO:0005829]	DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]
lapA VC_1913	GO:0005886; GO:0008653	lipopolysaccharide metabolic process [GO:0008653]	plasma membrane [GO:0005886]	
lapB VC_1912	GO:0005506; GO:0008653; GO:0009898; GO:0046890	lipopolysaccharide metabolic process [GO:0008653]; regulation of lipid biosynthetic process [GO:0046890]	cytoplasmic side of plasma membrane [GO:0009898]	iron ion binding [GO:0005506]
VC_1905	GO:0000166; GO:0000286; GO:0006524; GO:0042853	alanine catabolic process [GO:0006524]; L-alanine catabolic process [GO:0042853]		alanine dehydrogenase activity [GO:0000286]; nucleotide binding [GO:0000166]
VC_1904	GO:0005829; GO:0006355; GO:0006524; GO:0043201; GO:0043565	alanine catabolic process [GO:0006524]; regulation of DNA-templated transcription [GO:0006355]; response to L-leucine [GO:0043201]	cytosol [GO:0005829]	sequence-specific DNA binding [GO:0043565]
dsbB VC_1902	GO:0005886; GO:0006457; GO:0009055; GO:0015035	protein folding [GO:0006457]	plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; protein-disulfide reductase activity [GO:0015035]
nhaB VC_1901	GO:0005886; GO:0015385		plasma membrane [GO:0005886]	sodium:proton antiporter activity [GO:0015385]
VC_1872	GO:0004672			protein kinase activity [GO:0004672]
VC_1869	GO:0005737; GO:0006006; GO:0043365; GO:0046872; GO:0051539	glucose metabolic process [GO:0006006]	cytoplasm [GO:0005737]	4 iron, 4 sulfur cluster binding [GO:0051539]; [formate-C-acetyltransferase]-activating enzyme activity [GO:0043365]; metal ion binding [GO:0046872]
VC_1868	GO:0004888; GO:0006935; GO:0007165; GO:0016020	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	transmembrane signaling receptor activity [GO:0004888]
VC_1866	GO:0005829; GO:0006006; GO:0008861	glucose metabolic process [GO:0006006]	cytosol [GO:0005829]	formate C-acetyltransferase activity [GO:0008861]
VC_1861	GO:0005886; GO:0006865; GO:0022857; GO:0043190	amino acid transport [GO:0006865]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1860	GO:0003677; GO:0004519; GO:0005829; GO:0006281; GO:0006974; GO:0008311; GO:0046872	DNA damage response [GO:0006974]; DNA repair [GO:0006281]	cytosol [GO:0005829]	DNA binding [GO:0003677]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]
VC_1849	GO:0003755; GO:0005737; GO:0006457	protein folding [GO:0006457]	cytoplasm [GO:0005737]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
VC_1844	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0020037; GO:0046872; GO:0070069	aerobic electron transport chain [GO:0019646]	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]
VC_1843	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0046872; GO:0070069	aerobic electron transport chain [GO:0019646]	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]
tolQ VC_1839	GO:0005886; GO:0017038; GO:0043213; GO:0051301	bacteriocin transport [GO:0043213]; cell division [GO:0051301]; protein import [GO:0017038]	plasma membrane [GO:0005886]	
tolR VC_1838	GO:0005886; GO:0015031; GO:0022857; GO:0051301	cell division [GO:0051301]; protein transport [GO:0015031]	plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
tolB VC_1836	GO:0017038; GO:0042597; GO:0051301	cell division [GO:0051301]; protein import [GO:0017038]	periplasmic space [GO:0042597]	
pal VC_1835	GO:0009279; GO:0051301	cell division [GO:0051301]	cell outer membrane [GO:0009279]	
cpoB VC_1834	GO:0030288; GO:0043093; GO:0070206	FtsZ-dependent cytokinesis [GO:0043093]; protein trimerization [GO:0070206]	outer membrane-bounded periplasmic space [GO:0030288]	
VC_1831	GO:0000155; GO:0016020		membrane [GO:0016020]	phosphorelay sensor kinase activity [GO:0000155]
alaE VC_1828	GO:0005886; GO:0032973; GO:0034639	amino acid export across plasma membrane [GO:0032973]	plasma membrane [GO:0005886]	L-amino acid efflux transmembrane transporter activity [GO:0034639]
VC_1826	GO:0005351; GO:0005737; GO:0005886; GO:0009401; GO:0016301; GO:0022877; GO:0090563	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]
VC_1822	GO:0005351; GO:0005737; GO:0005886; GO:0009401; GO:0016301; GO:0022877; GO:0090563	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]
VC_1821	GO:0005351; GO:0005886; GO:0009401; GO:0016301; GO:0022877; GO:0090563	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]
VC_1786	GO:0006508; GO:0008237; GO:0046872	proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
nanE VC_1781	GO:0005829; GO:0005975; GO:0006053; GO:0019262; GO:0047465	carbohydrate metabolic process [GO:0005975]; N-acetylmannosamine catabolic process [GO:0006053]; N-acetylneuraminate catabolic process [GO:0019262]	cytosol [GO:0005829]	N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]
VC_1769	GO:0003677; GO:0008170; GO:0009007; GO:0009307; GO:0032259	DNA restriction-modification system [GO:0009307]; methylation [GO:0032259]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]
VC_1765	GO:0003677; GO:0005524; GO:0009035; GO:0009307	DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]
VC_1760	GO:0003677; GO:0004386; GO:0004519; GO:0005524; GO:0006281; GO:0009307; GO:0016787	DNA repair [GO:0006281]; DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]
VC_1751	GO:0005886; GO:0008381		plasma membrane [GO:0005886]	mechanosensitive monoatomic ion channel activity [GO:0008381]
VC_1746	GO:0000976; GO:0001217; GO:0003700; GO:0006355; GO:0032993	regulation of DNA-templated transcription [GO:0006355]	protein-DNA complex [GO:0032993]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]
VC_1740	GO:0003995; GO:0004466; GO:0005737; GO:0033539; GO:0050660; GO:0070991	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	cytoplasm [GO:0005737]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; long-chain fatty acyl-CoA dehydrogenase activity [GO:0004466]; medium-chain fatty acyl-CoA dehydrogenase activity [GO:0070991]
bpt VC_1736	GO:0004057; GO:0005737; GO:0008914; GO:0010498; GO:0071596	proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	cytoplasm [GO:0005737]	arginyl-tRNA--protein transferase activity [GO:0004057]; leucyl-tRNA--protein transferase activity [GO:0008914]
glgA VC_1726	GO:0004373; GO:0005829; GO:0005978; GO:0009011	glycogen biosynthetic process [GO:0005978]	cytosol [GO:0005829]	alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity [GO:0009011]; alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity [GO:0004373]
torD VC_1720	GO:0005737; GO:0006457; GO:0051259; GO:0051604	protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; protein maturation [GO:0051604]	cytoplasm [GO:0005737]	
VC_1719	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0032993	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]
VC_1718	GO:0000270; GO:0005886; GO:0043164; GO:0071555	cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan metabolic process [GO:0000270]	plasma membrane [GO:0005886]	
cmoM VC_1717	GO:0006400; GO:0008168; GO:0008757; GO:0032259; GO:0097697	methylation [GO:0032259]; tRNA modification [GO:0006400]		methyltransferase activity [GO:0008168]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA (5-carboxymethoxyuridine(34)-5-O)-methyltransferase activity [GO:0097697]
mukE VC_1715	GO:0005737; GO:0006260; GO:0007059; GO:0009295; GO:0030261; GO:0051301	cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]	
VC_1711	GO:0003824; GO:0005506; GO:0051539			4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; iron ion binding [GO:0005506]
VC_1706	GO:0000976; GO:0003700; GO:0005737; GO:0006355; GO:0009086	methionine biosynthetic process [GO:0009086]; regulation of DNA-templated transcription [GO:0006355]	cytoplasm [GO:0005737]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_1701	GO:0005737; GO:0005829; GO:0006637; GO:0009062; GO:0052816	acyl-CoA metabolic process [GO:0006637]; fatty acid catabolic process [GO:0009062]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	long-chain fatty acyl-CoA hydrolase activity [GO:0052816]
yciB VC_1700	GO:0005886		plasma membrane [GO:0005886]	
VC_1695	GO:0005886; GO:0015499; GO:0015724; GO:0042802	formate transport [GO:0015724]	plasma membrane [GO:0005886]	formate transmembrane transporter activity [GO:0015499]; identical protein binding [GO:0042802]
VC_1693	GO:0005506; GO:0005886; GO:0009055; GO:0009061; GO:0009276; GO:0020037	anaerobic respiration [GO:0009061]	Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]
VC_1687	GO:0004427; GO:0005737; GO:0046872		cytoplasm [GO:0005737]	inorganic diphosphate phosphatase activity [GO:0004427]; metal ion binding [GO:0046872]
VC_1672	GO:0006284; GO:0008725; GO:0046872	base-excision repair [GO:0006284]		DNA-3-methyladenine glycosylase activity [GO:0008725]; metal ion binding [GO:0046872]
VC_1671	GO:0005737; GO:0009086; GO:0019346; GO:0019450; GO:0030170; GO:0047804	L-cysteine catabolic process to pyruvate [GO:0019450]; methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346]	cytoplasm [GO:0005737]	cysteine-S-conjugate beta-lyase activity [GO:0047804]; pyridoxal phosphate binding [GO:0030170]
clsA VC_1670	GO:0005886; GO:0008808; GO:0016020; GO:0032049	cardiolipin biosynthetic process [GO:0032049]	membrane [GO:0016020]; plasma membrane [GO:0005886]	cardiolipin synthase activity [GO:0008808]
VC_1655	GO:0005886; GO:0015095; GO:0046872		plasma membrane [GO:0005886]	magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]
VC_1653	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0009927; GO:0015276	phosphorelay signal transduction system [GO:0000160]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; ligand-gated monoatomic ion channel activity [GO:0015276]; phosphorelay sensor kinase activity [GO:0000155]
rplY VC_1640	GO:0003735; GO:0006412; GO:0008097; GO:0022625	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]
VC_1639	GO:0000155; GO:0000160; GO:0005886	phosphorelay signal transduction system [GO:0000160]	plasma membrane [GO:0005886]	phosphorelay sensor kinase activity [GO:0000155]
VC_1634	GO:0005886; GO:0015385; GO:0042910; GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	plasma membrane [GO:0005886]	sodium:proton antiporter activity [GO:0015385]; xenobiotic transmembrane transporter activity [GO:0042910]
rlmF VC_1614	GO:0005737; GO:0052907; GO:0070475	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907]
VC_1606	GO:0009279; GO:0015288; GO:0015562; GO:1990281		cell outer membrane [GO:0009279]; efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]
VC_1605	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0009927	phosphorelay signal transduction system [GO:0000160]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]
VC_1599	GO:0005886; GO:0043709; GO:0052621; GO:1902201	cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]	plasma membrane [GO:0005886]	diguanylate cyclase activity [GO:0052621]
VC_1596	GO:0005737; GO:0008108; GO:0008270; GO:0033499	galactose catabolic process via UDP-galactose, Leloir pathway [GO:0033499]	cytoplasm [GO:0005737]	UDP-glucose:hexose-1-phosphate uridylyltransferase activity [GO:0008108]; zinc ion binding [GO:0008270]
VC_1594	GO:0004034; GO:0005737; GO:0006006; GO:0030246; GO:0033499	galactose catabolic process via UDP-galactose, Leloir pathway [GO:0033499]; glucose metabolic process [GO:0006006]	cytoplasm [GO:0005737]	aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]
VC_1590	GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0030976; GO:0034077; GO:0050660	butanediol metabolic process [GO:0034077]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]
VC_1589	GO:0045151; GO:0047605	acetoin biosynthetic process [GO:0045151]		acetolactate decarboxylase activity [GO:0047605]
VC_1583	GO:0004784; GO:0005507; GO:0019430; GO:0042597	removal of superoxide radicals [GO:0019430]	periplasmic space [GO:0042597]	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]
dabA VC_1582	GO:0005886; GO:0008270		plasma membrane [GO:0005886]	zinc ion binding [GO:0008270]
dabB VC_1581	GO:0005886; GO:0008137; GO:0012505; GO:0015990; GO:0042773	ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	endomembrane system [GO:0012505]; plasma membrane [GO:0005886]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
VC_1576	GO:0005829; GO:0016813; GO:0106251		cytosol [GO:0005829]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]; N4-acetylcytidine amidohydrolase activity [GO:0106251]
VC_1571	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0020037; GO:0046872; GO:0070069	aerobic electron transport chain [GO:0019646]	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]
ugpE VC_1551	GO:0005886; GO:0015169; GO:0016020		membrane [GO:0016020]; plasma membrane [GO:0005886]	glycerol-3-phosphate transmembrane transporter activity [GO:0015169]
VC_1550	GO:0001406; GO:0005886; GO:0015169; GO:0016020		membrane [GO:0016020]; plasma membrane [GO:0005886]	glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; glycerophosphodiester transmembrane transporter activity [GO:0001406]
VC_1549	GO:0001407; GO:0015794; GO:0016020; GO:0022857; GO:0042597	glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	membrane [GO:0016020]; periplasmic space [GO:0042597]	transmembrane transporter activity [GO:0022857]
VC_1547	GO:0005886; GO:0017038	protein import [GO:0017038]	plasma membrane [GO:0005886]	
VC_1544	GO:0005886; GO:0015031; GO:0015891; GO:0030288; GO:0031992; GO:0055085	protein transport [GO:0015031]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	energy transducer activity [GO:0031992]
VC_1542	GO:0003910; GO:0003911; GO:0005524; GO:0006260; GO:0006281; GO:0006310	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		ATP binding [GO:0005524]; DNA ligase (ATP) activity [GO:0003910]; DNA ligase (NAD+) activity [GO:0003911]
VC_1539	GO:0005524; GO:0016301			ATP binding [GO:0005524]; kinase activity [GO:0016301]
VC_1527	GO:0005525; GO:0005737; GO:0005829; GO:0006777; GO:0046872; GO:0061599	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; molybdopterin molybdotransferase activity [GO:0061599]
VC_1521	GO:0000155; GO:0005886; GO:0007165	signal transduction [GO:0007165]	plasma membrane [GO:0005886]	phosphorelay sensor kinase activity [GO:0000155]
