Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
clpP VC_1922	GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117	protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	cytoplasm [GO:0005737]; endopeptidase Clp complex [GO:0009368]	ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; serine-type endopeptidase activity [GO:0004252]
clpX VC_1921	GO:0005524; GO:0008270; GO:0009376; GO:0016887; GO:0046983; GO:0051082; GO:0051301; GO:0051603; GO:0140662	cell division [GO:0051301]; proteolysis involved in protein catabolic process [GO:0051603]	HslUV protease complex [GO:0009376]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; protein dimerization activity [GO:0046983]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]
lon VC_1920	GO:0004176; GO:0004252; GO:0005524; GO:0005737; GO:0006515; GO:0016887; GO:0034605; GO:0043565	cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]
cmk VC_1916	GO:0004127; GO:0005524; GO:0005829; GO:0006220; GO:0015949; GO:0036430; GO:0036431	nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleotide metabolic process [GO:0006220]	cytosol [GO:0005829]	(d)CMP kinase activity [GO:0004127]; ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]
pyrF VC_1911	GO:0004590; GO:0005829; GO:0006207; GO:0044205	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	cytosol [GO:0005829]	orotidine-5'-phosphate decarboxylase activity [GO:0004590]
fadR VC_1900	GO:0000062; GO:0003677; GO:0003700; GO:0005737; GO:0006631; GO:0019217; GO:0071072	fatty acid metabolic process [GO:0006631]; negative regulation of phospholipid biosynthetic process [GO:0071072]; regulation of fatty acid metabolic process [GO:0019217]	cytoplasm [GO:0005737]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; fatty-acyl-CoA binding [GO:0000062]
mfd VC_1886	GO:0000716; GO:0003677; GO:0003684; GO:0004386; GO:0005524; GO:0005737; GO:0006355; GO:0015616; GO:0016787; GO:0043175	regulation of DNA-templated transcription [GO:0006355]; transcription-coupled nucleotide-excision repair, DNA damage recognition [GO:0000716]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA translocase activity [GO:0015616]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA polymerase core enzyme binding [GO:0043175]
lpxK VC_1877	GO:0005524; GO:0005886; GO:0009029; GO:0009244; GO:0009245	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide core region biosynthetic process [GO:0009244]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; tetraacyldisaccharide 4'-kinase activity [GO:0009029]
kdsB VC_1875	GO:0005829; GO:0008690; GO:0009103; GO:0033468	CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0033468]; lipopolysaccharide biosynthetic process [GO:0009103]	cytosol [GO:0005829]	3-deoxy-manno-octulosonate cytidylyltransferase activity [GO:0008690]
dinG VC_1855	GO:0003677; GO:0003678; GO:0005524; GO:0006281; GO:0009432; GO:0016887; GO:0033677; GO:0043139; GO:0046872; GO:0051539	DNA repair [GO:0006281]; SOS response [GO:0009432]		4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA/RNA helicase activity [GO:0033677]; metal ion binding [GO:0046872]
lpxH VC_1850	GO:0005737; GO:0008758; GO:0009245; GO:0019897; GO:0030145	lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]; extrinsic component of plasma membrane [GO:0019897]	manganese ion binding [GO:0030145]; UDP-2,3-diacylglucosamine hydrolase activity [GO:0008758]
cysS VC_1848	GO:0004817; GO:0005524; GO:0005737; GO:0005829; GO:0006423; GO:0008270	cysteinyl-tRNA aminoacylation [GO:0006423]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]
ruvC VC_1847	GO:0000287; GO:0003677; GO:0005737; GO:0006281; GO:0006310; GO:0008821; GO:0048476	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]	crossover junction DNA endonuclease activity [GO:0008821]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]
