Model,Program,Component,Direction,Gene,Gene_display,Loading,Abs_loading,Driver_category
PCA,PCA7,7,Negative,N900_RS12030,plsY,-3.8247952118080413,3.8247952118080413,Uncategorized
PCA,PCA7,7,Negative,N900_RS16120,glutathione S-transferase,-3.767003838004383,3.767003838004383,Metabolic bottleneck enzymes
PCA,PCA7,7,Negative,N900_RS12725,dusA,-3.631411607209584,3.631411607209584,Uncategorized
PCA,PCA7,7,Negative,N900_RS09305,selenoprotein W-related protein,-3.5908543448199293,3.5908543448199293,Uncategorized
PCA,PCA7,7,Negative,N900_RS18130,yhaI,-3.5825669110688363,3.5825669110688363,Uncategorized
PCA,PCA7,7,Negative,N900_RS16965,VC_A0681_BLAST,-3.556195841036698,3.556195841036698,Biofilm / matrix regulators
PCA,PCA7,7,Negative,N900_RS06770,aroH,-3.549988888061084,3.549988888061084,Metabolic bottleneck enzymes
PCA,PCA7,7,Negative,N900_RS16850,aminoimidazole riboside kinase,-3.465542277804788,3.465542277804788,Metabolic bottleneck enzymes
PCA,PCA8,8,Positive,N900_RS15480,blc_1,4.690562900730824,4.690562900730824,Uncategorized
PCA,PCA8,8,Positive,N900_RS18350,VC_A0976,4.260336414493963,4.260336414493963,Uncategorized
PCA,PCA8,8,Positive,N900_RS17305,lipase,4.2526860295637325,4.2526860295637325,Uncategorized
PCA,PCA8,8,Positive,N900_RS10695,yehT_1,4.208351052857656,4.208351052857656,Uncategorized
PCA,PCA8,8,Positive,N900_RS08300,VC_1189,3.8789470940138924,3.8789470940138924,Uncategorized
PCA,PCA8,8,Positive,N900_RS02700,thrB,3.8509468736143195,3.8509468736143195,Uncategorized
PCA,PCA8,8,Positive,N900_RS19565,VC_A0423,3.756042325378523,3.756042325378523,Uncategorized
PCA,PCA8,8,Positive,N900_RS10895,eexS,3.7411843317012403,3.7411843317012403,Uncategorized
PCA,PCA8,8,Positive,N900_RS09835,VC_0872_BLAST,3.6005145765667734,3.6005145765667734,Uncategorized
PCA,PCA8,8,Positive,N900_RS15040,hlyA,3.580176054791036,3.580176054791036,Secretion systems / interbacterial competition genes
PCA,PCA8,8,Negative,N900_RS13930,trkh,-3.9892434852747694,3.9892434852747694,Transporters / nutrient uptake systems
PCA,PCA8,8,Negative,N900_RS07340,cry2,-3.8920322789095274,3.8920322789095274,Metabolic bottleneck enzymes
PCA,PCA8,8,Negative,N900_RS00695,VC_0142,-3.5678818300640276,3.5678818300640276,Uncategorized
PCA,PCA8,8,Negative,N900_RS13245,ygbN,-3.5489267806006572,3.5489267806006572,Transporters / nutrient uptake systems
PCA,PCA8,8,Negative,N900_RS12020,folK_1,-3.4981457431094425,3.4981457431094425,Uncategorized
PCA,PCA8,8,Negative,N900_RS17320,fabH2,-3.43800040950012,3.43800040950012,Metabolic bottleneck enzymes
PCA,PCA8,8,Negative,N900_RS19060,VC_0729,-3.4032030490463807,3.4032030490463807,Uncategorized
PCA,PCA8,8,Negative,N900_RS10205,citC,-3.38484559861186,3.38484559861186,Uncategorized
PCA,PCA8,8,Negative,N900_RS15545,OsmC family peroxiredoxin,-3.3479974754875514,3.3479974754875514,Uncategorized
PCA,PCA8,8,Negative,N900_RS08460,response regulator_3,-3.323206118014676,3.323206118014676,Response regulators
CP,CP1,1,Positive,N900_RS04090,cheY3,7.224942405282474,7.224942405282474,Uncategorized
CP,CP1,1,Positive,N900_RS17515,"resolvase, putative",7.160912785238834,7.160912785238834,Uncategorized
CP,CP1,1,Positive,N900_RS04100,cheA2,7.095363956301603,7.095363956301603,Chemotaxis / motility regulators
CP,CP1,1,Positive,N900_RS03150,pgpA,6.880502500044664,6.880502500044664,Uncategorized
CP,CP1,1,Positive,N900_RS09520,vpsO,6.870268767101909,6.870268767101909,Biofilm / matrix regulators
CP,CP1,1,Positive,N900_RS00905,gspF,6.842033524912718,6.842033524912718,Uncategorized
CP,CP1,1,Positive,N900_RS02135,rpiA,6.840212823565336,6.840212823565336,Uncategorized
CP,CP1,1,Positive,N900_RS03585,prmC,6.84020527376637,6.84020527376637,Uncategorized
CP,CP1,1,Positive,N900_RS03135,ribE_2,6.834361898774918,6.834361898774918,Uncategorized
CP,CP1,1,Positive,N900_RS11430,secG,6.821259598249686,6.821259598249686,Uncategorized
CP,CP1,1,Negative,N900_RS03470,flgE,-5.149875258483615,5.149875258483615,Uncategorized
CP,CP1,1,Negative,N900_RS18745,ribB,-4.454771257601913,4.454771257601913,Metabolic bottleneck enzymes
CP,CP1,1,Negative,N900_RS06440,VCM66_1516_BLAST,-4.163434181436948,4.163434181436948,Metabolic bottleneck enzymes
CP,CP1,1,Negative,N900_RS03500,flgK,-4.134556401806681,4.134556401806681,Uncategorized
CP,CP1,1,Negative,N900_RS13740,cap3_BLAST,-4.079710343891976,4.079710343891976,Uncategorized
CP,CP1,1,Negative,N900_RS13765,vspR,-3.7698791549161332,3.7698791549161332,Uncategorized
CP,CP1,1,Negative,N900_RS03455,flgB,-3.5931841334841357,3.5931841334841357,Uncategorized
CP,CP1,1,Negative,N900_RS16290,VC_A0536,-3.4402460733672973,3.4402460733672973,Uncategorized
CP,CP1,1,Negative,N900_RS16455,VC_A0571,-3.380386852577295,3.380386852577295,Uncategorized
CP,CP1,1,Negative,N900_RS17340,artI_1,-3.364221188280918,3.364221188280918,Transporters / nutrient uptake systems
CP,CP2,2,Positive,N900_RS02750,nupc,4.227852433538106,4.227852433538106,Transporters / nutrient uptake systems
CP,CP2,2,Positive,N900_RS08560,hisB,4.161336300081878,4.161336300081878,Uncategorized
CP,CP2,2,Positive,N900_RS08820,response regulator,4.0942832932881075,4.0942832932881075,Response regulators
CP,CP2,2,Positive,N900_RS10565,rdgC,4.05977667939478,4.05977667939478,Uncategorized
CP,CP2,2,Positive,N900_RS18680,MltR family transcriptional regulator,4.04050628783252,4.04050628783252,Transcription factors / DNA-binding regulators
CP,CP2,2,Positive,N900_RS13550,mutM,4.023042944916454,4.023042944916454,Uncategorized
CP,CP2,2,Positive,N900_RS14570,tagO,3.9650006118428913,3.9650006118428913,Uncategorized
CP,CP2,2,Positive,N900_RS08875,gap3,3.9525982441569436,3.9525982441569436,Metabolic bottleneck enzymes
CP,CP2,2,Positive,N900_RS08700,prepilin peptidase_1,3.940823811276545,3.940823811276545,Uncategorized
CP,CP2,2,Positive,N900_RS11690,bicA,3.9368983055471207,3.9368983055471207,Transporters / nutrient uptake systems
CP,CP2,2,Negative,N900_RS14760,VC_A0158,-1.9072003795109622,1.9072003795109622,Uncategorized
CP,CP2,2,Negative,N900_RS19305,malK,-1.4791489124721118,1.4791489124721118,Uncategorized
CP,CP2,2,Negative,N900_RS16455,VC_A0571,-1.2634083865370072,1.2634083865370072,Uncategorized
CP,CP2,2,Negative,N900_RS11625,VC_0603,-1.2210770920613039,1.2210770920613039,Uncategorized
CP,CP2,2,Negative,N900_RS17845,VC_A0868,-1.1463404419773884,1.1463404419773884,Uncategorized
CP,CP2,2,Negative,N900_RS19250,VC_0729,-1.1435421833187447,1.1435421833187447,Uncategorized
CP,CP2,2,Negative,N900_RS03760,flrB,-1.1428538358010385,1.1428538358010385,Chemotaxis / motility regulators
CP,CP2,2,Negative,N900_RS09745,pomA,-1.0375632098224388,1.0375632098224388,Uncategorized
CP,CP2,2,Negative,N900_RS09325,YbbN,-0.9383746146635296,0.9383746146635296,Stress-response regulators
CP,CP2,2,Negative,N900_RS06440,VCM66_1516_BLAST,-0.8921742919342656,0.8921742919342656,Metabolic bottleneck enzymes
CP,CP3,3,Positive,N900_RS10195,citE,2.891035938335566,2.891035938335566,Uncategorized
CP,CP3,3,Positive,N900_RS12285,VC_0457,2.7782249247113673,2.7782249247113673,Uncategorized
CP,CP3,3,Positive,N900_RS08150,VC_1216,2.704968112641455,2.704968112641455,Biofilm / matrix regulators
CP,CP3,3,Positive,N900_RS06650,VC_1531,2.688131730329219,2.688131730329219,Uncategorized
CP,CP3,3,Positive,N900_RS03430,flgN,2.655359305254175,2.655359305254175,Stress-response regulators
CP,CP3,3,Positive,N900_RS16775,Probable transporter XF_0766_BLAST,2.613070222787092,2.613070222787092,Transporters / nutrient uptake systems
CP,CP3,3,Positive,N900_RS11735,sspB,2.581613629754325,2.581613629754325,Uncategorized
CP,CP3,3,Positive,N900_RS00570,VC_0115,2.481626009914926,2.481626009914926,Uncategorized
CP,CP3,3,Positive,N900_RS18040,hutZ,2.471912143919724,2.471912143919724,Uncategorized
CP,CP3,3,Positive,N900_RS15335,type VI secretion system PAAR protein_1,2.273751303669558,2.273751303669558,Secretion systems / interbacterial competition genes
CP,CP3,3,Negative,N900_RS10885,flhD,-4.332775366807513,4.332775366807513,Uncategorized
CP,CP3,3,Negative,N900_RS10495,malate synthase A,-4.284763571080116,4.284763571080116,Metabolic bottleneck enzymes
CP,CP3,3,Negative,N900_RS12655,nhaP,-4.257384408230364,4.257384408230364,Transporters / nutrient uptake systems
CP,CP3,3,Negative,N900_RS16375,VC_A0556,-4.195588326853051,4.195588326853051,Uncategorized
CP,CP3,3,Negative,N900_RS12985,TetR/AcrR family transcriptional regulator_1,-4.166940142921182,4.166940142921182,Transcription factors / DNA-binding regulators
CP,CP3,3,Negative,N900_RS06615,VC_1539_BLAST,-4.103783352029574,4.103783352029574,Metabolic bottleneck enzymes
CP,CP3,3,Negative,N900_RS13730,VC_0183,-4.061509477734232,4.061509477734232,Uncategorized
CP,CP3,3,Negative,N900_RS16265,kdpd,-3.998446385923993,3.998446385923993,Sensor histidine kinases
CP,CP3,3,Negative,N900_RS18595,VC_A1030,-3.9606051053817546,3.9606051053817546,Uncategorized
CP,CP3,3,Negative,N900_RS11160,brxL,-3.9499683682163185,3.9499683682163185,Uncategorized
CP,CP4,4,Positive,N900_RS06610,CPXCG motif-containing cysteine-rich protein,2.504955956243647,2.504955956243647,Uncategorized
CP,CP4,4,Positive,N900_RS11325,VC_1785,2.198025041397638,2.198025041397638,Uncategorized
CP,CP4,4,Positive,N900_RS11625,VC_0603,2.190413475451131,2.190413475451131,Uncategorized
CP,CP4,4,Positive,N900_RS18055,TonB_2,2.1121339717020744,2.1121339717020744,Transporters / nutrient uptake systems
CP,CP4,4,Positive,N900_RS11710,rsmI,2.034644002234545,2.034644002234545,Uncategorized
CP,CP4,4,Positive,N900_RS04895,hinT,1.952023885876732,1.952023885876732,Uncategorized
CP,CP4,4,Positive,N900_RS20000,Pseudogene_N900_RS20000,1.8807805145537364,1.8807805145537364,Uncategorized
CP,CP4,4,Positive,N900_RS19305,malK,1.8783379796200086,1.8783379796200086,Uncategorized
CP,CP4,4,Positive,N900_RS04105,cheB2,1.8282149589973482,1.8282149589973482,Chemotaxis / motility regulators
CP,CP4,4,Positive,N900_RS12315,yggX,1.8229416585214562,1.8229416585214562,Stress-response regulators
CP,CP4,4,Negative,N900_RS14350,pstA_2,-4.102904480444889,4.102904480444889,Uncategorized
CP,CP4,4,Negative,N900_RS13305,purD,-4.09467447036065,4.09467447036065,Uncategorized
CP,CP4,4,Negative,N900_RS04070,flhA,-3.96406253343851,3.96406253343851,Uncategorized
CP,CP4,4,Negative,N900_RS09205,purF,-3.915140270845862,3.915140270845862,Uncategorized
CP,CP4,4,Negative,N900_RS03420,flgO,-3.8654793465243724,3.8654793465243724,Envelope / LPS / O-antigen genes
CP,CP4,4,Negative,N900_RS10045,tcpB,-3.8044650664104664,3.8044650664104664,Virulence master regulators / virulence structural genes
CP,CP4,4,Negative,N900_RS00255,purE,-3.7614388258712244,3.7614388258712244,Uncategorized
CP,CP4,4,Negative,N900_RS03425,flgP,-3.726289975181069,3.726289975181069,Uncategorized
CP,CP4,4,Negative,N900_RS09995,tcpJ,-3.7146975845138357,3.7146975845138357,Virulence master regulators / virulence structural genes
CP,CP4,4,Negative,N900_RS00525,VC_0101,-3.6846019791494564,3.6846019791494564,Uncategorized
CP,CP5,5,Positive,N900_RS06000,VC_1662,1.7754252356768514,1.7754252356768514,Uncategorized
CP,CP5,5,Positive,N900_RS15440,HNH endonuclease_1,1.6039415517011801,1.6039415517011801,Uncategorized
CP,CP5,5,Positive,N900_RS14100,hcp-2_D2,1.5665586063627335,1.5665586063627335,Secretion systems / interbacterial competition genes
CP,CP5,5,Positive,N900_RS05455,siaQ,1.4396510062062373,1.4396510062062373,Transporters / nutrient uptake systems
CP,CP5,5,Positive,N900_RS17205,VC_A0733,1.3925307679333436,1.3925307679333436,Uncategorized
CP,CP5,5,Positive,N900_RS00460,tatC,1.3847808207268608,1.3847808207268608,Uncategorized
CP,CP5,5,Positive,N900_RS01100,cpxR,1.377869965772816,1.377869965772816,Response regulators
CP,CP5,5,Positive,N900_RS10925,luxP,1.3637420374030345,1.3637420374030345,Uncategorized
