Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8
N900_RS00510,methyl-accepting chemotaxis protein_4,2.345171,2.610357,-0.00023073703,-2.0732205,-2.0804498,1.889306,0.052316688,1.7362002
N900_RS00515,glpG,4.81029,3.423407,-1.2100694,-0.111427315,-0.007020697,-0.7327935,0.21255112,2.2889006
N900_RS00520,glpE,2.9447963,2.3821962,0.66645074,-2.0558581,-0.7655133,1.6792881,0.8318898,0.6708743
N900_RS00525,VC_0101,-1.0770682,1.8812199,-1.4613833,-3.8991263,-2.546232,-0.60386276,-0.08359309,1.2449765
N900_RS00530,tatd,-2.370427,0.006830603,0.44039822,-2.5763898,0.5694511,-0.39519894,-0.03669569,-0.94391054
N900_RS00540,ypeA_1,2.823114,2.3472698,-3.8502173,-1.9214566,-0.5707494,-3.6045532,1.5099072,0.9727181
N900_RS00555,cc4,1.4739025,2.8930035,-1.1755978,-0.8355707,-0.70203865,-0.52016956,1.1743293,1.8731536
N900_RS00560,class I SAM-dependent methyltransferase_4,4.9887676,3.6000917,-1.1156057,-1.0848662,-0.3911483,-2.193173,0.19980845,0.7862949
N900_RS00565,yihI,2.2996838,2.6372623,0.17735875,-0.38791493,-0.08164032,0.7385658,0.00350748,2.1741872
N900_RS00570,VC_0115,3.6795354,0.6015379,1.9327276,-1.1633624,-1.5797701,0.29442927,-0.9003125,0.015476435
N900_RS00575,hemN,1.7491845,2.8425937,-2.0951807,1.3791807,-0.21656889,-2.3733363,0.791818,0.7169503
N900_RS00580,hemy,-1.4263731,1.3045158,-0.5738615,-1.6318209,-0.9645637,-0.55833364,0.41577217,0.6409689
N900_RS00585,HemX,1.9652166,1.570992,-1.6693712,-0.5397722,-1.4059278,-2.6346674,0.21886542,0.052043047
N900_RS00600,VC_0121,-0.28058136,1.2001975,-0.86010593,-1.9072652,-0.15255176,-1.2314698,0.1766958,0.6407694
N900_RS00605,class I adenylate cyclase,6.1579456,1.2925774,0.46884874,0.3631683,0.37383324,-0.06684362,-0.07121037,-0.4440296
N900_RS00610,cyaY,6.173761,1.5797278,0.06273579,-0.18106389,0.29134187,-0.4810455,0.100888215,-0.23448244
N900_RS00615,lipoprotein,2.024935,2.4776297,1.1430869,0.9560203,0.27017242,1.4834003,1.5657005,1.5447195
N900_RS00620,lysA,2.2051454,-0.31654447,1.2862605,-2.104717,-0.081583396,1.3941225,0.31880686,-0.7825499
N900_RS00630,VC_0127,4.2221045,4.5571632,-3.1480174,-0.9478458,-0.7326467,-2.270995,0.77060753,1.2464262
N900_RS00635,xerC,-0.9697539,1.3157482,-0.7861067,-1.8340858,0.5585588,-1.3846711,0.47598514,0.9510529
N900_RS00640,yigB,3.1692824,2.9925249,-3.1142304,-1.6048189,-1.8352671,-2.0588853,-0.31835058,2.3554816
N900_RS00645,cdpA,4.681154,2.412561,-0.572907,-0.5077004,-0.28813744,-0.9608838,-0.5274366,1.1663125
N900_RS00650,VC_0131,2.45505,0.39159048,-2.7472758,-0.57139444,-1.6010141,-1.4765544,-0.6457921,1.9491042
N900_RS00655,membrane protein_2,3.0890021,3.827257,-1.1936002,-1.2225945,-1.5742697,-0.91165817,1.0636516,-0.6932724
N900_RS00660,VC_0133,3.7003274,3.2959876,-3.4122376,-1.7644653,-0.6518369,-2.7774782,0.70119,1.8246028
N900_RS00665,yigL,3.241067,2.010491,-1.97164,-0.29632017,0.57194686,-0.9564349,0.16094458,1.4168525
N900_RS00670,ytpA,3.1886022,2.5087757,0.643226,-0.8852103,-0.95575047,0.69794554,0.4243716,-0.62508917
N900_RS00675,rhtB,3.4004657,2.926402,-2.9815056,-0.12409382,0.24993199,-2.1208427,0.23975137,0.3444434
N900_RS00680,cdgJ_1,3.7257488,3.040274,-2.0654511,-1.2991114,-0.08932892,-2.808037,0.46891847,2.844249
N900_RS00685,DNA starvation/stationary phase protection protein,2.647033,3.6238515,-0.075475074,-1.0183277,0.32163522,0.1981092,0.61452115,1.6601439
N900_RS00690,VC_0140,1.1226667,-0.5795951,0.2292887,-2.2650084,-0.46688187,1.3048396,0.46048316,-0.33408907
N900_RS00695,VC_0142,2.2692943,0.94966954,-0.59953475,0.29500315,0.5327629,1.6469809,1.052638,0.92103404
N900_RS00705,Pseudogene_N900_RS00705,-0.7322894,0.6321373,0.25939667,0.48349947,0.68237484,-1.769078,0.23930752,-1.9571463
N900_RS00710,lysoplasmalogenase_1,5.569021,3.5781946,-2.1240654,-0.92843336,-0.4301582,-2.742343,0.5928604,0.9133071
N900_RS00715,VC_0145,2.99247,3.4301875,-2.9998062,-0.90490806,-0.6660607,-1.9912852,-0.6524324,2.1299744
N900_RS00720,rsmD,1.694941,2.9827394,-4.5149994,-0.622113,-2.4119833,-3.6849036,0.10387514,2.9281237
N900_RS00730,ftsE,1.9530034,1.1580439,-1.1687124,0.19782221,0.5092231,-1.6308379,0.056288235,-2.2219634
N900_RS00735,ftsX,5.4996667,2.3976524,-1.3174433,-1.1503887,-0.74366033,-0.851524,-0.09252206,-0.4506819
N900_RS00745,sthA,3.9037151,2.8930557,-2.9967797,0.04386369,-0.7607336,-2.0134006,0.3064589,3.3895392
N900_RS00750,fabR,5.174694,3.3268821,-1.183253,0.29256925,-0.12217566,-1.3292521,0.43536723,2.6638727
N900_RS00755,yijd,3.673528,2.1217244,0.75056535,0.17793807,-0.8571427,-0.5761132,-0.41617665,0.73834646
N900_RS00760,trmA,4.24623,3.3648977,-2.244104,-0.61755496,0.11281374,-1.1654443,0.26241282,0.37747103
N900_RS00765,btuB,3.0039334,2.9512687,-0.5820617,-1.173174,0.5841588,-3.348838,0.20929298,0.37980595
N900_RS00770,S8 family peptidase,4.4569745,3.0091882,-2.5942657,-0.41290233,-0.45668542,-2.4920838,0.2501268,1.8098972
N900_RS00780,RNA-binding protein,2.9077437,2.32328,-1.8343086,0.5249881,1.4424158,-2.0753214,0.84120613,3.4802895
N900_RS00810,add,2.974402,1.8144675,-3.4650748,-0.816454,-0.058073428,-1.6788089,0.979847,1.4292165
N900_RS00815,VC_2750,4.232828,2.6646926,-2.3100626,-0.04857557,-0.510103,-0.44334024,0.40759578,0.78020495
N900_RS00820,ntrC,-0.5587401,2.6971028,-3.6549444,0.2259342,-0.119559765,-3.4005146,0.19398007,1.3702357
N900_RS00825,ntrB,4.9913044,2.5545824,-2.3975155,-0.74103796,-0.59771466,-1.7752463,0.93944365,0.4080705
N900_RS00830,VC_2747,4.0656905,3.9521859,0.45803383,-1.5505679,-1.4103694,0.101095095,-0.12560391,1.7732214
N900_RS00835,glnA,3.4045494,0.07587335,0.22083423,-2.7621276,0.55109894,-0.15301773,0.14404431,-0.38872585
N900_RS00840,VC_2745,2.881813,1.8017917,-3.7907822,1.4820896,-1.5770324,-2.7972507,-0.4146209,2.860731
N900_RS00845,typA,5.3013086,3.6086977,-2.5130157,-0.08770916,-0.56144446,-0.53726685,0.4442015,2.0988905
N900_RS00850,ATPase,2.7688859,3.7488842,-1.3883383,-0.43925753,-1.9856336,-0.8726946,-0.27202946,-0.14283058
N900_RS00855,VC0395_A2314_BLAST,4.1148925,3.087333,-1.4080893,-1.08377,-0.13541323,-0.79919755,0.85082513,0.5445199
N900_RS00860,dtd,3.225687,3.067878,-3.4543142,-0.7192065,-0.2689771,-2.3868108,0.93604445,2.2952173
N900_RS00865,GNAT family N-acetyltransferase_2,4.1830115,3.766314,-1.5090941,-1.1573493,-0.8576648,-1.4388212,0.43014365,-0.20525339
N900_RS00870,asma_2,4.007369,3.7468526,-0.12300386,-1.0908948,-0.45904014,-1.5329304,0.55137056,0.7234259
N900_RS00875,pckA,1.795352,3.1816933,-1.3716296,1.2482324,-1.1721333,0.7159177,-0.12357682,0.93427527
N900_RS00880,hslo,4.2664704,1.495735,-0.3674446,-2.015275,-1.5395654,-0.80320656,-0.16427523,-0.7216465
N900_RS00885,hslR,2.0480351,3.2627764,-1.0351014,0.3098027,-0.44374034,-3.952325,0.27303123,0.059269413
N900_RS00890,gspC,2.6089606,3.7716682,-3.96427,-0.69454443,0.42458043,-3.2894726,0.99162465,3.1444461
N900_RS00895,gspD,6.716792,1.7129841,0.11164416,0.11904576,0.42828164,-0.5420807,0.07405501,-0.2349011
N900_RS00900,gspE,6.687756,1.635511,0.18196532,0.16596907,0.4253278,-0.4233517,0.056875043,-0.26894638
N900_RS00905,gspF,6.4467096,1.895687,-0.111724444,0.28040555,0.4220598,-0.8668954,0.114463024,-0.07431277
N900_RS00910,gspG,6.329047,1.5837615,-0.030118689,-0.27658802,0.29718173,-0.540651,0.07100614,-0.11077274
N900_RS00915,epsH,3.0205674,0.009423554,-0.77918106,1.2123142,-1.0345335,0.09921295,-0.26698488,0.24591827
N900_RS00920,gspI,6.706014,1.6658143,0.13775524,0.121202655,0.43364587,-0.5006209,0.061742075,-0.25275522
N900_RS00925,gspJ,2.1330218,0.6578399,0.28965288,-0.21178398,0.45056412,1.0606477,1.3883232,1.1577586
N900_RS00930,epsK,6.635563,1.6590244,0.19577718,0.15045154,0.3177091,-0.37070912,0.031651743,-0.30345342
N900_RS00940,epsM,6.0678983,1.883365,-0.011480153,-0.0037292466,0.13280515,-0.6363653,0.071551524,-0.12560105
N900_RS00945,epsN,4.8595896,3.7598875,-2.7081647,0.08712018,-0.16879477,-1.8565753,1.0937037,3.1578548
N900_RS00950,cysQ,0.43136817,1.4477062,1.5644357,-1.6726098,-0.14246896,2.7154884,-0.31007,0.5354705
N900_RS00955,nudE,1.963175,3.4468296,-0.14180923,-0.054094948,-1.8084528,0.38404378,-0.011932425,1.4881259
N900_RS00960,nfua,4.273585,0.23483545,0.5701141,0.2486853,1.1119684,0.1603454,0.083959155,-0.71565425
N900_RS00970,bioH,2.1291192,1.9396634,-0.42301935,-2.3420963,-0.93037295,0.58702767,0.4811524,1.4634876
N900_RS00975,VC_2717,4.6997037,3.2444804,-1.8744801,0.023863085,0.54068816,-2.0070393,1.2623885,1.1652346
N900_RS00980,yhgF,5.2503777,3.6819694,-0.45531878,-0.43484977,-0.21445659,-2.405329,0.3291837,0.5179127
N900_RS00985,greB,4.1381397,2.5715928,-0.11263945,-0.5415998,0.5965564,-1.5691348,0.7758554,0.5159853
N900_RS00990,ompR,5.3910623,3.110283,-0.9060663,0.32974538,-0.39334822,-1.2034678,0.052968517,1.633904
N900_RS00995,envZ,4.9316063,3.5915961,-2.69284,-0.91794634,-1.5946299,-0.31725717,-0.0962209,2.1744778
N900_RS01000,xanP_BLAST,3.6003702,2.6910892,-2.3239002,-0.53545153,0.089009345,-0.7099914,0.212861,1.5800875
N900_RS01005,recG,3.2139976,3.0103195,-3.557648,-0.5624635,-1.2759511,-1.4001334,0.104375325,1.7551112
N900_RS01015,rpoZ,-0.23963101,2.8125396,-1.239745,-0.6586702,-0.2807003,-2.4013937,-0.31554773,0.4908037
N900_RS01025,yhhQ,3.2104208,2.0997865,-2.3971193,-0.590737,1.2876743,-2.5082836,0.75203365,0.48087612
N900_RS01030,actP,4.7509236,3.6341822,-2.3815153,-0.5321342,-0.054515403,-2.8918614,1.169549,1.4360205
N900_RS01035,VC_2704,1.1619792,2.0775177,-0.95137554,0.30770403,-0.3483167,1.3824202,0.7352558,1.0163164
N900_RS01040,nhaP2,3.8122938,3.9086,-3.9485207,0.30299386,-1.0517035,-2.4046416,0.5262202,3.3851185
N900_RS01045,narL,-0.7930395,1.8126767,-1.5037793,1.0960628,0.062161952,-1.2360727,1.1888244,1.7234484
N900_RS01050,dsbd,2.4199107,4.0679245,-1.9409007,-2.1208181,-1.1090556,-2.0009542,0.8794454,1.6108928
N900_RS01065,dcuA,4.1572757,1.621412,-1.5551379,-0.18854913,-1.8368082,-1.0981994,0.35114795,0.7559427
N900_RS01070,aspA,2.2108276,0.8584434,0.61742496,-1.247311,0.007842198,0.36521855,0.117715426,-0.30037406
N900_RS01075,VC_2697,3.2984533,3.1573243,-1.7288166,-1.0957187,-1.1211822,-3.952222,0.23408762,0.4437621
N900_RS01080,fxsA,1.4903313,3.1848261,0.10956301,0.3842294,-0.16830358,1.563428,1.1250839,1.0264354
N900_RS01085,trmL,3.1767774,2.8629675,0.09001592,1.3086818,0.7899654,1.1559675,0.67010975,1.5117682
N900_RS01090,superoxide dismutase,0.5248108,4.131975,-0.98866254,-1.176451,-0.21749327,-0.6049708,1.2773331,-0.04287126
N900_RS01095,cpxA,2.6874914,3.3405702,-1.100132,-2.289938,-0.9673668,-1.3356619,0.3490732,2.2520366
N900_RS01100,cpxR,-0.18432294,1.0640336,-3.2826564,-0.94660866,1.064026,-3.7777572,1.1466857,2.4984157
N900_RS01105,cpxp,5.1237125,3.1318908,-0.2241148,-0.45797518,-0.64940035,-1.9363767,0.94717497,1.0151322
N900_RS01110,fieF,3.7928238,4.2728143,-2.658663,-0.7965009,-1.0948967,-1.6115745,0.55753887,1.5503051
N900_RS01115,pfkA,5.41707,1.5051209,0.69782734,0.1823982,-0.026476488,-0.6525967,0.024679467,-1.4918276
N900_RS01120,glpX,4.062199,2.017594,-1.2645363,-1.2344342,-0.96830153,-1.7853017,0.29349864,3.1581347
N900_RS01125,zapB,1.7165886,0.5259976,0.5636342,-1.7903726,0.3348943,0.22688201,0.21160457,-1.3686944
N900_RS01130,metF,3.8335764,3.0064046,-2.4117203,-0.45922863,0.4096047,-2.0371213,0.56390923,-0.13422766
N900_RS01135,metL,4.95817,3.17651,-1.7229325,-0.67357045,-0.5569222,-1.6356411,0.5793232,0.7777456
N900_RS01140,metB,0.9207193,3.3378904,1.3123937,-0.87605125,-0.87267685,-0.068817064,0.08499231,1.009375
N900_RS01145,metJ,0.54829353,0.64343256,-1.069644,0.7793701,0.88580954,-1.4204628,1.3952836,1.2152768
N900_RS01150,maeB,3.7303894,2.4062285,-2.206047,-1.2506543,-1.0060781,-0.3073351,-0.969356,1.33943
N900_RS01155,rpmE,6.730413,1.6548713,0.11319746,-0.07958936,0.40768704,-0.49552482,0.072207816,-0.25789797
N900_RS01165,cytR,4.973703,3.3223612,-1.9810308,0.050306514,-0.39856192,-2.1779597,0.10128126,2.695151
N900_RS01175,hslV,3.4159865,3.6356003,-0.15968314,0.08332249,-0.13184787,1.7402987,1.0574782,1.6429995
N900_RS01180,hslU,-1.961623,3.294864,-2.1899736,-0.35473195,-0.8535335,-3.2762187,0.66131395,1.6242843
N900_RS01185,menA,4.1702957,3.1590388,-1.4115462,1.55463,0.017018065,-1.9981633,0.34170586,2.3270905
N900_RS01190,rraA,2.004306,3.2230563,-2.0778944,-0.8354478,-1.0085058,-0.48675054,0.5654672,2.1236947
N900_RS01195,norM_1,2.3767517,2.310023,-1.4740627,-0.9935821,-2.230797,0.26030365,1.2419697,1.5975604
N900_RS01200,tpiA,6.4594064,1.6271627,0.2531145,0.35860214,0.2580265,-0.28404653,-0.030660886,-0.3168015
N900_RS01205,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,4.3967547,2.8591743,-2.7076573,-0.90182036,-0.6216301,-2.7294822,0.06036327,0.81301075
N900_RS01210,VC_2668,3.0396333,1.7314029,-2.7042992,-0.23586226,-0.165177,-0.25006562,-0.41674754,1.7281575
N900_RS01215,VC_2667,4.025016,3.6732032,-3.1893432,1.3062562,-0.6907296,-1.7931601,0.5555392,2.0752296
N900_RS01220,transcriptional regulator_1,0.7660302,2.8677025,-0.33409688,-0.7643735,-0.39817044,-2.20697,0.5598672,2.7115264
N900_RS01235,VC_2662,3.1664,2.8462713,-3.6884038,-1.7236385,-0.7519053,-2.3574378,-0.29588744,2.0303583
N900_RS01240,epmB,2.7358727,0.31535664,0.19306025,-0.051679187,-0.49366245,0.5541845,-0.3037363,-1.0280603
N900_RS01245,efp,2.4611013,0.17497125,-0.8047699,-0.6917869,-0.5314062,-1.046787,-0.4453144,-1.1749864
N900_RS01250,frdD,-0.6814867,1.7523537,-3.5861228,1.0138401,0.11939196,-4.544534,-0.5098181,1.1862181
N900_RS01255,frdC,-1.3266329,3.3579905,-1.0137372,0.07286663,-1.4309362,-1.3731618,0.5090725,0.88324267
N900_RS01260,frdB,1.274999,1.2687247,-2.0261366,1.9213637,0.040332735,-1.7501534,0.036940485,0.30427307
N900_RS01265,frdA,1.3756827,3.2850654,-1.6263039,1.4287947,0.55930984,-2.4757578,0.14449507,-0.018174365
N900_RS01270,epmA,3.5309308,0.3424275,0.3794598,-0.79297346,-0.23826523,0.52033544,-0.22584474,-0.7326193
N900_RS01275,yibN,1.0146244,0.86486775,-0.56666994,-2.0424035,0.31583384,-1.2804376,0.2818456,1.2924672
N900_RS01280,secB,2.026345,1.3907614,0.06730259,-2.0815246,-0.020736024,2.1064944,0.017454647,0.3772276
N900_RS01285,gpsA,6.7051597,1.729791,0.10935373,0.13711473,0.41054693,-0.53844696,0.07495312,-0.23679674
N900_RS01290,cysE,6.569717,1.7624737,0.02347204,0.25772357,-0.06380211,-0.44215548,-0.08866439,-0.24305469
N900_RS01295,PadR family transcriptional regulator,3.8642795,0.4586461,-0.6121009,-2.700872,0.25890154,-0.969416,0.12956506,-0.9131058
N900_RS01300,ppc,3.4818237,3.4517143,-1.9562091,-0.6653135,-0.9903488,-3.2131073,0.41208237,2.9557917
N900_RS01305,argE,3.97064,2.354798,-3.005064,-0.6349475,-0.2298746,-2.6514065,1.4863977,0.84440434
N900_RS01310,argC,4.106337,3.3172722,-2.6845138,-1.7636483,0.03820719,-1.9441024,1.0631286,1.1523108
N900_RS01315,argB,4.5297046,2.7674353,-2.9531949,-1.2951953,-0.1068288,-1.4335606,0.11186775,2.1641393
N900_RS01320,argG,1.5721513,2.198598,-1.5924997,-2.760662,0.17221528,-2.4360425,0.5505586,2.038471
N900_RS01325,argH,0.6395497,0.2955396,-3.4816425,-0.8972735,-1.0447491,-3.137001,-0.6837998,1.4287989
