Model,Rank,Program,Time,Space,Value,Requested_rank
weighted_CPVAE,10,CPVAE1,6h,SI7,0.0075473487377166,4
weighted_CPVAE,10,CPVAE1,6h,SI8,0.0048529445193707,4
weighted_CPVAE,10,CPVAE1,6h,SI9,0.0059221740812063,4
weighted_CPVAE,10,CPVAE1,6h,ce,0.0092194499447941,4
weighted_CPVAE,10,CPVAE1,6h,co,0.0065386029891669,4
weighted_CPVAE,10,CPVAE1,12h,st,0.0583492368459701,4
weighted_CPVAE,10,CPVAE1,12h,SI1,0.0791196376085281,4
weighted_CPVAE,10,CPVAE1,12h,SI2,0.0602108165621757,4
weighted_CPVAE,10,CPVAE1,12h,SI3,0.0283329859375953,4
weighted_CPVAE,10,CPVAE1,12h,SI4,0.0510509796440601,4
weighted_CPVAE,10,CPVAE1,12h,SI5,0.047584231942892,4
weighted_CPVAE,10,CPVAE1,12h,SI6,0.031558983027935,4
weighted_CPVAE,10,CPVAE1,12h,SI7,0.0376634299755096,4
weighted_CPVAE,10,CPVAE1,12h,SI8,0.0242175832390785,4
weighted_CPVAE,10,CPVAE1,12h,SI9,0.0295533426105976,4
weighted_CPVAE,10,CPVAE1,12h,ce,0.0460076965391635,4
weighted_CPVAE,10,CPVAE1,12h,co,0.0326295010745525,4
weighted_CPVAE,10,CPVAE1,24h,st,0.0516540519893169,4
weighted_CPVAE,10,CPVAE1,24h,SI1,0.070041187107563,4
weighted_CPVAE,10,CPVAE1,24h,SI2,0.0533020310103893,4
weighted_CPVAE,10,CPVAE1,24h,SI3,0.0250819660723209,4
weighted_CPVAE,10,CPVAE1,24h,SI4,0.0451932214200496,4
weighted_CPVAE,10,CPVAE1,24h,SI5,0.0421242602169513,4
weighted_CPVAE,10,CPVAE1,24h,SI6,0.0279378034174442,4
weighted_CPVAE,10,CPVAE1,24h,SI7,0.0333418063819408,4
weighted_CPVAE,10,CPVAE1,24h,SI8,0.0214387774467468,4
weighted_CPVAE,10,CPVAE1,24h,SI9,0.0261622946709394,4
weighted_CPVAE,10,CPVAE1,24h,ce,0.0407286211848259,4
weighted_CPVAE,10,CPVAE1,24h,co,0.0288854837417602,4
