PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
1.356316652762124,0.040995302219500984,2.963954007044018,1.4568499577668548,-1.5091467381834665,0.5313969739329503,-1.52343526441807,-0.3461763600075473,0.20103116203464882,0.13147718889135973,N900_RS00260,tsaC,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
-3.468405466597694,-0.9477800104894658,1.3487088907637355,-1.1164619193418062,2.6637252450016695,-2.6133252162020773,-1.5612291758987815,-1.7431780308695262,1.4429017103072628,-1.6662309466992948,N900_RS00265,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
-1.358894678477898,-0.07108597984405157,-0.06642478169402222,3.2289163743291223,-0.5851419596576676,-2.7166010948063386,-0.12594543739797137,-0.016510113833831552,-1.8780901092124185,-0.8239109215762283,N900_RS00270,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155
3.033372854314046,-0.19714488955553144,0.6507472102250522,0.42178528433082896,0.08865060137203604,0.13503369115669128,-0.012354810499816127,1.1411018612401989,-0.49226472861507087,-0.20011533190885078,N900_RS00275,N900_RS00275,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776
1.1355082391580744,-0.4888634057930953,-0.9298985140905025,1.75184779963501,-1.5220365783471743,2.7767110226280964,1.3446168149103053,0.9865271620728209,0.6954935524037017,-0.13611025332057414,N900_RS00280,yrdA,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939
2.9225830036403977,0.44056313199185626,1.3421368737625194,-0.6077828843673765,-0.9938432728655661,-0.2877747304903431,-0.15497593786260122,-0.7558647687560467,-0.6418765808673489,-0.071854013105914,N900_RS00320,crcB,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577
1.2686576920943295,0.12564267722113068,-2.8505579922292377,-0.6870891194049671,-0.24632280799343206,1.4883077603792212,-1.8839241554914106,-0.9700089056660632,-0.10745974779721446,-0.3420009220255182,N900_RS00325,thiC,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671
-4.253531174563277,0.47856419537102934,-2.649019278622938,-0.9473527261218568,-0.372511486682389,-0.20857199605375354,-0.5572201599512197,-1.1208508254446539,0.43758069961502777,-0.661542959064887,N900_RS00330,thiE,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687
-2.7698767032400378,-0.1463830006118686,0.6352464692997541,2.4735541697065075,1.0490229154893191,-0.2917532452205607,2.4160368493519204,1.8547133747256994,-0.9088664380610653,-0.1997500148689645,N900_RS00335,thiF,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261
1.3501561288928885,-0.45753080777549193,2.333688586700801,0.45946681385862753,-2.120482870999649,1.4122154434784535,-1.5223465056324896,1.5785706618035646,-0.6911681856221029,1.3055133468579652,N900_RS00340,thiS,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345
