Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS03275,TensorComp4,-3.512484930230768,VC0395_A1830_BLAST,-0.8288588166666668,-2.8774,2.8362,6h_SI6,6h,SI6,1h_ce,1h,ce,5.7136,3.512484930230768,33.0
N900_RS04950,TensorComp4,-3.4824781575146946,pilz_2,-0.8508710999999999,-3.5076,2.7429,3h_SI7,3h,SI7,1h_co,1h,co,6.250500000000001,3.4824781575146946,34.0
N900_RS02435,TensorComp4,-3.4787317567360603,dsbC,-0.19421205166666666,-1.9863,3.1401,12h_SI5,12h,SI5,1h_ce,1h,ce,5.1264,3.4787317567360603,35.0
N900_RS05480,TensorComp4,-3.457984818795594,nanM_2,-0.22444844500000005,-2.0285,2.5945,24h_SI1,24h,SI1,3h_SI5,3h,SI5,4.623,3.457984818795594,36.0
N900_RS16630,TensorComp4,-3.447639466882172,N900_RS16630,-1.6399974166666664,-4.2154,2.6879,3h_SI7,3h,SI7,6h_SI3,6h,SI3,6.9033,3.447639466882172,37.0
N900_RS13405,TensorComp4,-3.4160146422065365,wbeN,-3.3459535,-5.3127,2.5039,6h_SI9,6h,SI9,1h_SI1,1h,SI1,7.8166,3.4160146422065365,38.0
N900_RS06550,TensorComp4,-3.412169844676267,ugpE,-0.31219335,-2.0951,4.3218,24h_SI3,24h,SI3,3h_SI5,3h,SI5,6.4169,3.412169844676267,39.0
N900_RS10005,TensorComp4,-3.410372624527688,tcpF,-1.1926756833333334,-4.1516,2.9029,12h_SI7,12h,SI7,3h_SI3,3h,SI3,7.0545,3.410372624527688,40.0
N900_RS13300,TensorComp4,-3.409877557735461,purH,-1.4036716999999999,-4.2012,3.4987,12h_SI9,12h,SI9,1h_st,1h,st,7.6998999999999995,3.409877557735461,41.0
N900_RS10010,TensorComp4,-3.401956418002509,tcpE,-1.4925149333333334,-4.2571,4.007,6h_SI7,6h,SI7,3h_SI3,3h,SI3,8.2641,3.401956418002509,42.0
N900_RS09185,TensorComp4,-3.3868292333480214,motY,-0.6503969499999999,-2.4553,2.6154,24h_SI1,24h,SI1,3h_SI7,3h,SI7,5.0707,3.3868292333480214,43.0
N900_RS08435,TensorComp4,-3.3660658109073913,gonadoliberin III,-0.3288796,-1.9545,3.6517,24h_SI5,24h,SI5,1h_SI1,1h,SI1,5.606199999999999,3.3660658109073913,44.0
N900_RS19070,TensorComp4,-3.3579152531376515,Pseudogene_N900_RS19070,-0.9638598666666667,-2.9196,3.2641,6h_co,6h,co,3h_SI3,3h,SI3,6.1837,3.3579152531376515,45.0
N900_RS15555,TensorComp4,-3.3469390296124297,toxin,-1.616501666666667,-4.4485,3.3211,12h_SI4,12h,SI4,1h_ce,1h,ce,7.7696000000000005,3.3469390296124297,46.0
N900_RS13450,TensorComp4,-3.3249176087093444,manB,-4.000066333333334,-6.6305,0.07236,12h_ce,12h,ce,12h_SI3,12h,SI3,6.702859999999999,3.3249176087093444,47.0
N900_RS03730,TensorComp4,-3.2920737141018317,flaB,0.1458025983333333,-1.2065,3.0556,24h_st,24h,st,3h_SI4,3h,SI4,4.2621,3.2920737141018317,48.0
N900_RS01515,TensorComp4,-3.2904605632678336,motX_BLAST,-1.1445433166666668,-3.4328,2.4798,24h_SI1,24h,SI1,3h_SI7,3h,SI7,5.912599999999999,3.2904605632678336,49.0
N900_RS04085,TensorComp4,-3.2721461259918656,flia,-0.14443718333333333,-2.1923,2.7654,12h_SI3,12h,SI3,1h_ce,1h,ce,4.9577,3.2721461259918656,50.0
N900_RS01040,TensorComp5,-2.982148022435365,nhaP2,1.139512368333333,-0.49865,3.465,6h_st,6h,st,6h_SI4,6h,SI4,3.96365,2.982148022435365,1.0
N900_RS10885,TensorComp5,-2.922059481441269,flhD,0.7052683333333333,-1.2331,2.7638,3h_SI9,3h,SI9,3h_SI5,3h,SI5,3.9969,2.922059481441269,2.0
N900_RS04565,TensorComp5,-2.920874882700084,sutR,1.0106300666666665,-0.47738,4.039,3h_SI3,3h,SI3,6h_SI3,6h,SI3,4.51638,2.920874882700084,3.0
N900_RS18340,TensorComp5,-2.908463472402383,methyl-accepting chemotaxis protein_25,0.6147865899999999,-0.93278,3.7644,3h_SI2,3h,SI2,3h_SI1,3h,SI1,4.69718,2.908463472402383,4.0
N900_RS13730,TensorComp5,-2.8887185222885363,N900_RS13730,0.6004542133333335,-1.0513,3.8104,12h_st,12h,st,3h_SI1,3h,SI1,4.8617,2.8887185222885363,5.0
N900_RS18255,TensorComp5,-2.8872340410141226,marr_2,0.713241845,-0.91848,3.4133,12h_st,12h,st,6h_SI4,6h,SI4,4.33178,2.8872340410141226,6.0
N900_RS12765,TensorComp5,-2.8789158312068297,N900_RS12765,0.877642515,-0.69665,3.7281,3h_SI3,3h,SI3,12h_SI1,12h,SI1,4.4247499999999995,2.8789158312068297,7.0
N900_RS14860,TensorComp5,-2.8572851082658084,pepT,0.9717282,-0.9055,3.5006,12h_st,12h,st,3h_SI5,3h,SI5,4.4061,2.8572851082658084,8.0
N900_RS07150,TensorComp5,-2.850059890029585,N900_RS07150,0.8882288666666668,-0.58219,4.1202,3h_st,3h,st,6h_SI4,6h,SI4,4.702389999999999,2.850059890029585,9.0
N900_RS08230,TensorComp5,-2.8326218962108967,hutG,0.64989609,-0.8809,3.5459,6h_st,6h,st,3h_SI2,3h,SI2,4.4268,2.8326218962108967,10.0
N900_RS16375,TensorComp5,-2.814065341493184,N900_RS16375,0.362556495,-0.89203,3.8498,3h_SI3,3h,SI3,3h_SI1,3h,SI1,4.74183,2.814065341493184,11.0
N900_RS10990,TensorComp5,-2.7991249236687126,cobS,0.8855663333333333,-0.85332,3.7089,3h_SI9,3h,SI9,3h_SI5,3h,SI5,4.56222,2.7991249236687126,12.0
N900_RS16875,TensorComp5,-2.794257973971715,beta-phosphoglucomutase family hydrolase,0.43112399516666666,-1.1501,2.9659,12h_st,12h,st,3h_SI4,3h,SI4,4.116,2.794257973971715,13.0
