Model,Rank,Program,Time,Space,Value
VAE,10,VAE1,12h,co,0.0031193196773529053
VAE,10,VAE1,24h,st,-0.008195161819458008
VAE,10,VAE1,24h,SI1,0.002468891441822052
VAE,10,VAE1,24h,SI2,-0.001249551773071289
VAE,10,VAE1,24h,SI3,0.0016501545906066895
VAE,10,VAE1,24h,SI4,-0.0049097537994384766
VAE,10,VAE1,24h,SI5,0.003450840711593628
VAE,10,VAE1,24h,SI6,0.007749021053314209
VAE,10,VAE1,24h,SI7,0.0011890232563018799
VAE,10,VAE1,24h,SI8,-0.016142278909683228
VAE,10,VAE1,24h,SI9,0.001463472843170166
VAE,10,VAE1,24h,ce,-0.016356945037841797
VAE,10,VAE1,24h,co,-0.0012235939502716064
weighted_CPVAE,10,CPVAE1,1h,st,-0.07059739530086517
weighted_CPVAE,10,CPVAE1,1h,SI1,-0.09572773426771164
weighted_CPVAE,10,CPVAE1,1h,SI2,-0.07284974306821823
weighted_CPVAE,10,CPVAE1,1h,SI3,-0.03428039699792862
weighted_CPVAE,10,CPVAE1,1h,SI4,-0.061767153441905975
weighted_CPVAE,10,CPVAE1,1h,SI5,-0.05757269263267517
weighted_CPVAE,10,CPVAE1,1h,SI6,-0.03818356990814209
weighted_CPVAE,10,CPVAE1,1h,SI7,-0.04556940868496895
weighted_CPVAE,10,CPVAE1,1h,SI8,-0.029301125556230545
weighted_CPVAE,10,CPVAE1,1h,SI9,-0.0357569195330143
weighted_CPVAE,10,CPVAE1,1h,ce,-0.05566522851586342
weighted_CPVAE,10,CPVAE1,1h,co,-0.03947879746556282
weighted_CPVAE,10,CPVAE1,3h,st,-0.058757051825523376
weighted_CPVAE,10,CPVAE1,3h,SI1,-0.07967261970043182
weighted_CPVAE,10,CPVAE1,3h,SI2,-0.0606316439807415
weighted_CPVAE,10,CPVAE1,3h,SI3,-0.028531011193990707
weighted_CPVAE,10,CPVAE1,3h,SI4,-0.05140778422355652
weighted_CPVAE,10,CPVAE1,3h,SI5,-0.04791680723428726
weighted_CPVAE,10,CPVAE1,3h,SI6,-0.03177955746650696
weighted_CPVAE,10,CPVAE1,3h,SI7,-0.03792666643857956
weighted_CPVAE,10,CPVAE1,3h,SI8,-0.024386843666434288
weighted_CPVAE,10,CPVAE1,3h,SI9,-0.02975989691913128
weighted_CPVAE,10,CPVAE1,3h,ce,-0.046329252421855927
weighted_CPVAE,10,CPVAE1,3h,co,-0.03285755217075348
weighted_CPVAE,10,CPVAE1,6h,st,0.011692563071846962
weighted_CPVAE,10,CPVAE1,6h,SI1,0.0158547293394804
weighted_CPVAE,10,CPVAE1,6h,SI2,0.012065604329109192
weighted_CPVAE,10,CPVAE1,6h,SI3,0.005677627399563789
weighted_CPVAE,10,CPVAE1,6h,SI4,0.010230070911347866
weighted_CPVAE,10,CPVAE1,6h,SI5,0.009535371325910091
weighted_CPVAE,10,CPVAE1,6h,SI6,0.00632408307865262
weighted_CPVAE,10,CPVAE1,6h,SI7,0.007547348737716675
weighted_CPVAE,10,CPVAE1,6h,SI8,0.004852944519370794
weighted_CPVAE,10,CPVAE1,6h,SI9,0.005922174081206322
weighted_CPVAE,10,CPVAE1,6h,ce,0.009219449944794178
weighted_CPVAE,10,CPVAE1,6h,co,0.006538602989166975
weighted_CPVAE,10,CPVAE1,12h,st,0.058349236845970154
weighted_CPVAE,10,CPVAE1,12h,SI1,0.07911963760852814
weighted_CPVAE,10,CPVAE1,12h,SI2,0.06021081656217575
weighted_CPVAE,10,CPVAE1,12h,SI3,0.028332985937595367
weighted_CPVAE,10,CPVAE1,12h,SI4,0.051050979644060135
weighted_CPVAE,10,CPVAE1,12h,SI5,0.047584231942892075
weighted_CPVAE,10,CPVAE1,12h,SI6,0.03155898302793503
weighted_CPVAE,10,CPVAE1,12h,SI7,0.037663429975509644
weighted_CPVAE,10,CPVAE1,12h,SI8,0.02421758323907852
weighted_CPVAE,10,CPVAE1,12h,SI9,0.02955334261059761
weighted_CPVAE,10,CPVAE1,12h,ce,0.04600769653916359
weighted_CPVAE,10,CPVAE1,12h,co,0.032629501074552536
weighted_CPVAE,10,CPVAE1,24h,st,0.05165405198931694
weighted_CPVAE,10,CPVAE1,24h,SI1,0.07004118710756302
weighted_CPVAE,10,CPVAE1,24h,SI2,0.05330203101038933
weighted_CPVAE,10,CPVAE1,24h,SI3,0.025081966072320938
weighted_CPVAE,10,CPVAE1,24h,SI4,0.04519322142004967
weighted_CPVAE,10,CPVAE1,24h,SI5,0.04212426021695137
weighted_CPVAE,10,CPVAE1,24h,SI6,0.02793780341744423
weighted_CPVAE,10,CPVAE1,24h,SI7,0.03334180638194084
weighted_CPVAE,10,CPVAE1,24h,SI8,0.021438777446746826
weighted_CPVAE,10,CPVAE1,24h,SI9,0.026162294670939445
weighted_CPVAE,10,CPVAE1,24h,ce,0.0407286211848259
weighted_CPVAE,10,CPVAE1,24h,co,0.028885483741760254
PCA,10,PC2,1h,st,0.49514751849797317
PCA,10,PC2,1h,SI1,0.8250354400737413
PCA,10,PC2,1h,SI2,0.18985194889071016
PCA,10,PC2,1h,SI3,-0.2698718364259952
PCA,10,PC2,1h,SI4,-0.3992267220469103
PCA,10,PC2,1h,SI5,-0.4227895670685397
PCA,10,PC2,1h,SI6,-0.44823533829535966
PCA,10,PC2,1h,SI7,-0.3920453002568268
PCA,10,PC2,1h,SI8,-0.3187889401963728
PCA,10,PC2,1h,SI9,-0.16294779340384002
PCA,10,PC2,1h,ce,0.5883942479878246
PCA,10,PC2,1h,co,0.6368633325666503
PCA,10,PC2,3h,st,0.7834782874186179
PCA,10,PC2,3h,SI1,0.9319040257709059
PCA,10,PC2,3h,SI2,0.9760450896994601
PCA,10,PC2,3h,SI3,0.9945669398609787
