Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS16455,PC1,-6.316749096015801,N900_RS16455,1.4157422000000002,-0.36415,4.071,12h_SI3,12h,SI3,3h_SI8,3h,SI8,4.43515,6.316749096015801,Negative
N900_RS05745,PC2,5.877222865361476,mukB,-2.1942355,-4.7923,2.163,6h_SI6,6h,SI6,3h_st,3h,st,6.955299999999999,5.877222865361476,Positive
N900_RS13300,PC2,5.2421353413553735,purH,-1.4036716999999999,-4.2012,3.4987,12h_SI9,12h,SI9,1h_st,1h,st,7.6998999999999995,5.2421353413553735,Positive
N900_RS10020,PC2,5.104683534067787,tcpS,-1.7026167883333334,-4.7837,2.9108,12h_SI5,12h,SI5,3h_st,3h,st,7.6945,5.104683534067787,Positive
N900_RS15715,PC2,4.954197627389668,N900_RS15715,0.6084107999999999,-1.9319,3.6415,12h_SI8,12h,SI8,12h_SI1,12h,SI1,5.5734,4.954197627389668,Positive
N900_RS01865,PC2,4.881889175551079,rpoN,-1.1769380166666665,-4.423,2.6889,12h_SI8,12h,SI8,1h_co,1h,co,7.1119,4.881889175551079,Positive
N900_RS10000,PC2,4.780649797278892,toxT,-1.90126865,-4.5366,5.4509,12h_SI6,12h,SI6,3h_st,3h,st,9.9875,4.780649797278892,Positive
N900_RS09205,PC2,4.765394382819014,purF,-2.03226245,-5.1351,2.6569,12h_SI6,12h,SI6,1h_st,1h,st,7.792,4.765394382819014,Positive
N900_RS19270,PC2,4.759282505534735,tcpR,-1.3743090999999998,-4.4813,3.4633,6h_SI9,6h,SI9,1h_ce,1h,ce,7.944599999999999,4.759282505534735,Positive
N900_RS00255,PC2,4.745833225440771,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378,4.745833225440771,Positive
N900_RS09545,PC2,4.737178484646542,N900_RS09545,-0.49554998333333333,-2.8916,4.6892,6h_SI5,6h,SI5,1h_st,1h,st,7.5808,4.737178484646542,Positive
N900_RS10015,PC2,4.693914365363428,tcpT,-0.8828706666666668,-4.081,4.4176,12h_SI9,12h,SI9,1h_st,1h,st,8.4986,4.693914365363428,Positive
N900_RS15685,PC2,4.674305057693507,parE1,-0.27652061666666666,-2.5997,2.9226,3h_SI7,3h,SI7,6h_st,6h,st,5.5222999999999995,4.674305057693507,Positive
N900_RS10060,PC2,4.670922666157356,tcpP,-2.09559695,-5.2195,0.57672,12h_SI6,12h,SI6,1h_SI3,1h,SI3,5.79622,4.670922666157356,Positive
N900_RS02570,PC2,4.608980740509892,carA,0.2942158166666667,-3.4883,5.916,6h_SI6,6h,SI6,3h_st,3h,st,9.404300000000001,4.608980740509892,Positive
N900_RS13410,PC2,4.562061084098303,wbeM,-2.982940833333333,-5.7015,2.3756,12h_SI7,12h,SI7,1h_st,1h,st,8.0771,4.562061084098303,Positive
N900_RS02575,PC2,4.5617363265909106,carB,0.14906505000000003,-2.9689,4.971,12h_SI8,12h,SI8,3h_SI2,3h,SI2,7.9399,4.5617363265909106,Positive
N900_RS01295,PC2,4.554655709916847,PadR family transcriptional regulator,-1.0386439,-4.3031,4.736,12h_SI7,12h,SI7,6h_st,6h,st,9.0391,4.554655709916847,Positive
N900_RS12720,PC2,4.545796168204429,pspG,-1.259453105,-4.0321,0.86394,12h_SI8,12h,SI8,24h_SI3,24h,SI3,4.89604,4.545796168204429,Positive
N900_RS12875,PC2,4.536357823796919,hfq,1.8103941499999998,-0.30901,7.7919,12h_SI6,12h,SI6,1h_st,1h,st,8.10091,4.536357823796919,Positive
N900_RS09210,PC2,4.5347217994260145,cvpA,-2.3630791666666666,-5.6924,2.1232,12h_SI6,12h,SI6,3h_st,3h,st,7.8156,4.5347217994260145,Positive
N900_RS09295,PC2,4.523371908015111,toxR_BLAST,-1.2760801616666668,-3.7391,2.7871,12h_SI7,12h,SI7,3h_SI4,3h,SI4,6.5262,4.523371908015111,Positive
N900_RS13200,PC2,4.482809413864144,aroQ,-0.83595025,-3.6077,3.0399,12h_SI7,12h,SI7,3h_st,3h,st,6.6476,4.482809413864144,Positive
N900_RS09995,PC2,4.4545293434662465,tcpJ,-2.3957258,-5.3424,1.6028,12h_SI6,12h,SI6,1h_ce,1h,ce,6.9452,4.4545293434662465,Positive
N900_RS10335,PC2,4.433450287177312,guaA,-2.461274333333334,-5.1525,0.92829,12h_ce,12h,ce,1h_ce,1h,ce,6.0807899999999995,4.433450287177312,Positive
N900_RS10005,PC2,4.427905287921444,tcpF,-1.1926756833333334,-4.1516,2.9029,12h_SI7,12h,SI7,3h_SI3,3h,SI3,7.0545,4.427905287921444,Positive
N900_RS11160,PC2,-4.1683764663562926,brxL,0.7628808399999998,-1.1955,3.9882,3h_co,3h,co,3h_SI1,3h,SI1,5.1837,4.1683764663562926,Negative
N900_RS10885,PC2,-4.156398702033664,flhD,0.7052683333333333,-1.2331,2.7638,3h_SI9,3h,SI9,3h_SI5,3h,SI5,3.9969,4.156398702033664,Negative
N900_RS11050,PC2,-4.145911769079321,trau,0.7993716833333334,-0.82268,3.9177,6h_SI1,6h,SI1,1h_SI1,1h,SI1,4.74038,4.145911769079321,Negative
N900_RS14860,PC2,-4.0984582815918635,pepT,0.9717282,-0.9055,3.5006,12h_st,12h,st,3h_SI5,3h,SI5,4.4061,4.0984582815918635,Negative
N900_RS10705,PC2,-3.968832361802121,anmK,0.8871709581666667,-0.79866,3.4368,6h_st,6h,st,1h_SI1,1h,SI1,4.23546,3.968832361802121,Negative
N900_RS19185,PC2,-3.9378362746292415,N900_RS19185,0.9914399666666667,-0.78349,3.2763,6h_st,6h,st,12h_SI3,12h,SI3,4.05979,3.9378362746292415,Negative
N900_RS16445,PC2,-3.9115355147188136,VC0395_0503_BLAST,0.6296410833333334,-0.78978,3.9846,12h_SI1,12h,SI1,6h_SI4,6h,SI4,4.77438,3.9115355147188136,Negative
N900_RS10990,PC2,-3.9095564963533103,cobS,0.8855663333333333,-0.85332,3.7089,3h_SI9,3h,SI9,3h_SI5,3h,SI5,4.56222,3.9095564963533103,Negative
N900_RS10930,PC2,-3.863193418927225,XRE family transcriptional regulator_7,0.4640263666666666,-1.5717,2.7051,6h_SI3,6h,SI3,6h_SI2,6h,SI2,4.2768,3.863193418927225,Negative
N900_RS04445,PC2,-3.835096967224699,sppA,1.7334983000000002,-0.32443,5.3733,3h_co,3h,co,3h_SI5,3h,SI5,5.69773,3.835096967224699,Negative
N900_RS02775,PC2,-3.81358960678333,deoD_1,0.9162402883333332,-0.57302,3.3385,3h_SI3,3h,SI3,1h_SI1,1h,SI1,3.91152,3.81358960678333,Negative
N900_RS01180,PC2,-3.807522902919717,hslU,0.4620350833333333,-1.1661,3.2565,6h_SI3,6h,SI3,3h_SI4,3h,SI4,4.4226,3.807522902919717,Negative
N900_RS04380,PC2,-3.8020213943470416,pykA_1,0.8676892666666667,-0.73358,3.9536,12h_st,12h,st,6h_SI4,6h,SI4,4.68718,3.8020213943470416,Negative
N900_RS12985,PC2,-3.7968766462362997,TetR/AcrR family transcriptional regulator_1,0.8306927333333333,-1.1978,4.4814,6h_SI2,6h,SI2,6h_ce,6h,ce,5.6792,3.7968766462362997,Negative
N900_RS13750,PC2,-3.790929681019963,dncV,0.8405079333333334,-1.1486,6.1476,6h_SI2,6h,SI2,3h_SI5,3h,SI5,7.2962,3.790929681019963,Negative
N900_RS17830,PC2,-3.721027106244264,hapA,0.6224483216666667,-0.88243,3.2309,12h_st,12h,st,6h_ce,6h,ce,4.11333,3.721027106244264,Negative
N900_RS01255,PC2,-3.708272761944856,frdC,1.4661603333333335,-0.48517,4.017,1h_SI3,1h,SI3,6h_ce,6h,ce,4.5021700000000004,3.708272761944856,Negative
N900_RS12100,PC2,-3.6766363837359033,N900_RS12100,0.4585875716666667,-2.2633,3.3344,6h_SI3,6h,SI3,3h_SI2,3h,SI2,5.5977,3.6766363837359033,Negative
N900_RS01040,PC2,-3.6595036086117885,nhaP2,1.139512368333333,-0.49865,3.465,6h_st,6h,st,6h_SI4,6h,SI4,3.96365,3.6595036086117885,Negative
N900_RS08230,PC2,-3.6374167754123925,hutG,0.64989609,-0.8809,3.5459,6h_st,6h,st,3h_SI2,3h,SI2,4.4268,3.6374167754123925,Negative
N900_RS11655,PC2,-3.62765987921973,gluQ,0.35454593333333334,-1.4418,3.3399,3h_ce,3h,ce,6h_SI4,6h,SI4,4.7817,3.62765987921973,Negative
