Model,Program,Time,Space,Value
CPVAE,CPVAE4,1h,SI6,-0.024665667
CPVAE,CPVAE4,1h,SI7,-0.02057826
CPVAE,CPVAE4,1h,SI8,-0.015744863
CPVAE,CPVAE4,1h,SI9,-0.007377919
CPVAE,CPVAE4,1h,ce,-0.020085772
CPVAE,CPVAE4,1h,co,-0.0011605968
CPVAE,CPVAE4,3h,st,-0.022230908
CPVAE,CPVAE4,3h,SI1,0.19546564
CPVAE,CPVAE4,3h,SI2,-0.0045054876
CPVAE,CPVAE4,3h,SI3,0.028434804
CPVAE,CPVAE4,3h,SI4,-0.0023731391
CPVAE,CPVAE4,3h,SI5,-0.036025524
CPVAE,CPVAE4,3h,SI6,-0.05953137
CPVAE,CPVAE4,3h,SI7,-0.04966628
CPVAE,CPVAE4,3h,SI8,-0.038000725
CPVAE,CPVAE4,3h,SI9,-0.017806841
CPVAE,CPVAE4,3h,ce,-0.048477646
CPVAE,CPVAE4,3h,co,-0.0028011373
CPVAE,CPVAE4,6h,st,-0.014187399
CPVAE,CPVAE4,6h,SI1,0.12474295
CPVAE,CPVAE4,6h,SI2,-0.0028753278
CPVAE,CPVAE4,6h,SI3,0.018146623
CPVAE,CPVAE4,6h,SI4,-0.0015144983
CPVAE,CPVAE4,6h,SI5,-0.022990895
CPVAE,CPVAE4,6h,SI6,-0.037991937
CPVAE,CPVAE4,6h,SI7,-0.0316962
CPVAE,CPVAE4,6h,SI8,-0.024251435
CPVAE,CPVAE4,6h,SI9,-0.011364032
CPVAE,CPVAE4,6h,ce,-0.030937636
CPVAE,CPVAE4,6h,co,-0.0017876396
CPVAE,CPVAE4,12h,st,-0.0036810266
CPVAE,CPVAE4,12h,SI1,0.032365486
CPVAE,CPVAE4,12h,SI2,-0.00074602524
CPVAE,CPVAE4,12h,SI3,0.0047082766
CPVAE,CPVAE4,12h,SI4,-0.00039294787
CPVAE,CPVAE4,12h,SI5,-0.005965159
CPVAE,CPVAE4,12h,SI6,-0.009857291
CPVAE,CPVAE4,12h,SI7,-0.008223816
CPVAE,CPVAE4,12h,SI8,-0.0062922155
CPVAE,CPVAE4,12h,SI9,-0.0029484828
CPVAE,CPVAE4,12h,ce,-0.008027
CPVAE,CPVAE4,12h,co,-0.0004638164
CPVAE,CPVAE4,24h,st,-0.0010462366
CPVAE,CPVAE4,24h,SI1,0.009199052
CPVAE,CPVAE4,24h,SI2,-0.00021203837
CPVAE,CPVAE4,24h,SI3,0.0013382058
CPVAE,CPVAE4,24h,SI4,-0.000111685265
CPVAE,CPVAE4,24h,SI5,-0.0016954421
CPVAE,CPVAE4,24h,SI6,-0.00280168
CPVAE,CPVAE4,24h,SI7,-0.0023374069
