Gene,PCA_MSE,CP_MSE,VAE_MSE,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
N900_RS00420,0.6778197716398839,0.6838806761028945,0.656201581140071,rdsA_BLAST,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184
N900_RS00425,0.4397651686717818,0.47552838618257015,0.43059941947570823,eamA_1,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277
N900_RS00430,0.5798507676568724,0.6188764919125708,0.5040911683103956,rmuC,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259
N900_RS00440,0.5639563423367836,0.5853778780778102,0.5611150224424986,ubiJ,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005
N900_RS00450,0.6574692991820028,0.6602305575939035,0.6538223284534598,tatA,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789
N900_RS00455,0.2426825232958834,0.30872850282966124,0.2311316591739323,tatB,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493
N900_RS00460,0.5737400147337547,0.6660338115755918,0.6158499732992768,tatC,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126
N900_RS00465,0.30109042425519306,0.349548444342283,0.2863728612782739,ccp,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436
N900_RS00470,0.6285431117431354,0.5202997684154472,0.5176549071619087,dinF,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883
N900_RS00475,0.8379867703239593,0.8191799425240425,0.8205691910884056,class I SAM-dependent methyltransferase_2,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974
N900_RS00480,0.8166637516997184,0.7935531463396117,0.7938061633622936,lexA,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448
N900_RS00485,0.7281815816680027,0.7352052225284902,0.7541711227817679,plsB,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294
N900_RS00490,0.14966626178451747,0.16037083206405656,0.024377415963484948,ubiA,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693
N900_RS00495,0.3500655153996513,0.4013170070697402,0.33293037530354247,chorismate lyase,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243
N900_RS00505,0.9733604618230276,0.8848317030217312,0.937167233343926,fliL_2,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87
N900_RS00510,0.656362261505849,0.6835551837867437,0.5905496453191584,methyl-accepting chemotaxis protein_4,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336
N900_RS00515,0.27485103307619946,0.27218908985220513,0.257901984971482,glpG,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149
N900_RS00520,0.6655996939885193,0.7144359938486161,0.6791158630979782,glpE,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836
N900_RS00525,0.4385923707429727,0.5335173016569598,0.37423150502740327,N900_RS00525,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833
N900_RS00530,0.6857585095443107,0.6461918568230595,0.6584717328595163,tatd,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255
N900_RS00540,0.5937707399685797,0.34389999006506283,0.6050623781638211,ypeA_1,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311
N900_RS00555,0.6136733047149151,0.6621186928402508,0.6160344693677913,cc4,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999
N900_RS00560,0.26405702237073453,0.2681590922627102,0.2342201515284471,class I SAM-dependent methyltransferase_4,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008
N900_RS00565,0.6276711785930342,0.5569648162333374,0.6355367856267586,yihI,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476
N900_RS00570,0.5774136673704944,0.44211815613897765,0.5614622406805786,N900_RS00570,0.9985721499999999,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925
N900_RS00575,0.43608373187910543,0.5048872464353822,0.49244179665360144,hemN,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146
N900_RS00580,0.7954061858093221,0.8428005909272573,0.7824744290291817,hemy,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979
N900_RS00585,0.7757512484343516,0.794552626083428,0.7315177413773792,HemX,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879
N900_RS00600,0.8833039443230339,0.9029220102745473,0.8813027072263987,N900_RS00600,0.11754571833333329,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999
N900_RS00605,0.2680637186182863,0.2939281293575594,0.160203550375412,class I adenylate cyclase,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035
N900_RS00610,0.32129053905943117,0.32287624301871687,0.22557658069606618,cyaY,-0.07653811666666667,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035
N900_RS00615,0.7393496129850724,0.6881135772382531,0.7869256963369019,lipoprotein,0.7600619500000002,-1.3587,4.3559,1h_SI1,1h,SI1,6h_SI4,6h,SI4,5.7146
N900_RS00620,0.5821516858338883,0.7017445979600367,0.49493680954690505,lysA,-0.6041504833333333,-3.411,5.0984,6h_SI6,6h,SI6,1h_st,1h,st,8.5094
N900_RS00630,0.2902217219263491,0.3054994501421537,0.23780918610890925,N900_RS00630,0.6924454499999999,-0.96672,3.7161,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.6828199999999995
N900_RS00635,0.7544282536629476,0.8483596708219742,0.672337669702278,xerC,-0.7535026816666667,-2.9001,2.0488,6h_co,6h,co,1h_SI1,1h,SI1,4.9489
N900_RS00640,0.5073846906302438,0.5488022260702725,0.4272992075953191,yigB,0.86147158,-0.89298,3.8617,6h_SI2,6h,SI2,12h_SI2,12h,SI2,4.75468
N900_RS00645,0.38415457578601475,0.33033805446967945,0.3387814982830171,cdpA,1.70551305,-0.034254,4.779,1h_SI8,1h,SI8,1h_st,1h,st,4.813254
N900_RS00650,0.8323575279767305,0.8313909676182433,0.6628748419106281,N900_RS00650,0.754079075,-0.87026,4.0816,6h_SI1,6h,SI1,3h_SI1,3h,SI1,4.95186
N900_RS00655,0.4238536000412881,0.4004525205797654,0.36605100721844525,membrane protein_2,0.7059646166666668,-0.90133,4.5236,3h_SI1,3h,SI1,6h_st,6h,st,5.42493
N900_RS00660,0.3714661705764866,0.3872983479099378,0.38571849828680627,N900_RS00660,0.7008000883333333,-0.63323,3.0587,3h_st,3h,st,3h_SI4,3h,SI4,3.69193
N900_RS00665,0.669224609397768,0.7063599504602863,0.7234536609731385,yigL,0.6587722983333334,-0.72221,4.1468,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.869009999999999
N900_RS00670,0.5631359392712049,0.5688736380477607,0.5716805994419498,ytpA,1.2163169666666667,-0.42223,4.4342,6h_SI4,6h,SI4,12h_st,12h,st,4.85643
N900_RS00675,0.46875382391263426,0.42328469446323486,0.4096225536645236,rhtB,1.5416369333333333,0.079106,4.1993,1h_SI7,1h,SI7,6h_st,6h,st,4.120194
N900_RS00680,0.3659253890953609,0.35941658537014365,0.3296791457437288,cdgJ_1,0.6302034833333334,-0.98312,3.9188,3h_co,3h,co,3h_SI1,3h,SI1,4.9019200000000005
N900_RS00685,0.5267714355646892,0.48230710305022406,0.4971739479690853,DNA starvation/stationary phase protection protein,1.4176418333333336,-0.58104,4.0655,12h_SI2,12h,SI2,6h_SI4,6h,SI4,4.64654
N900_RS00690,0.6095846391377495,0.7831999960893268,0.5826718470823739,N900_RS00690,-0.4742885166666667,-2.5567,4.7887,6h_SI6,6h,SI6,1h_ce,1h,ce,7.345400000000001
N900_RS00695,0.8621228611682452,0.7809201130055456,0.8578168974284305,N900_RS00695,1.51118885,-0.13062,5.802,6h_ce,6h,ce,1h_ce,1h,ce,5.93262
N900_RS00705,0.893821152328724,0.7221626019593507,0.7676267557896188,Pseudogene_N900_RS00705,0.6146072500000002,-1.1903,5.5069,12h_SI4,12h,SI4,6h_st,6h,st,6.6972
N900_RS00710,0.20963066056394508,0.22480715585905572,0.16835990379143786,lysoplasmalogenase_1,1.4763866666666665,0.18203,4.2859,6h_ce,6h,ce,6h_st,6h,st,4.10387
N900_RS00715,0.44908584043221556,0.5098393298947024,0.4018325987060582,N900_RS00715,0.6058417166666668,-0.87444,3.6763,12h_st,12h,st,3h_SI3,3h,SI3,4.55074
N900_RS00720,0.54219409917038,0.57654690047466,0.5104946475023697,rsmD,0.5461251500000001,-1.1989,3.7187,6h_SI1,6h,SI1,12h_SI1,12h,SI1,4.9176
N900_RS00730,0.8292239341612196,0.671677457794162,0.6003566455274233,ftsE,0.008029538233333333,6.3514e-05,0.14335,6h_SI7,6h,SI7,6h_st,6h,st,0.14328648600000002
N900_RS00735,0.2043486745841815,0.25173490162568546,0.23534456703763712,ftsX,1.1239662949999998,-0.88995,4.8428,24h_ce,24h,ce,6h_st,6h,st,5.73275
N900_RS00745,0.3441729463274711,0.3054912147705069,0.3506901320131508,sthA,1.1094407333333336,-0.28939,3.4948,3h_co,3h,co,3h_SI5,3h,SI5,3.78419
N900_RS00750,0.2519738190331072,0.21351089970353826,0.23021478254917616,fabR,1.2588140316666667,-0.26161,3.877,3h_ce,3h,ce,3h_st,3h,st,4.13861
N900_RS00755,0.6180883777494575,0.5491831106007371,0.576130310044847,yijd,0.9526409666666666,-0.63701,6.2139,1h_ce,1h,ce,6h_SI1,6h,SI1,6.85091
N900_RS00760,0.33813493704186964,0.34266000940303615,0.2953517548856157,trmA,1.3786812833333333,0.015237,4.1149,3h_st,3h,st,3h_SI3,3h,SI3,4.099663
N900_RS00765,0.4125927058583242,0.4684905941446388,0.39806070615722483,btuB,0.8134078183333333,-0.39857,3.9313,24h_SI8,24h,SI8,3h_st,3h,st,4.32987
N900_RS00770,0.3825957216105745,0.37689857272893146,0.3687642755273947,S8 family peptidase,0.9447001833333333,-0.42231,3.5087,1h_st,1h,st,3h_SI1,3h,SI1,3.93101
N900_RS00780,0.37360443200195903,0.44811268453211517,0.4283879301242367,RNA-binding protein,0.9666030216666667,-0.8883,4.0206,12h_SI1,12h,SI1,3h_st,3h,st,4.9089
N900_RS00810,0.6406551361436621,0.5600782227701895,0.6497650422498071,add,0.6931469433333333,-0.74171,4.4996,1h_SI1,1h,SI1,3h_SI1,3h,SI1,5.24131
N900_RS00815,0.33888729812747265,0.33853798313908534,0.3221181842063951,N900_RS00815,1.4899632666666662,-0.048524,4.7778,1h_st,1h,st,3h_SI2,3h,SI2,4.826324
N900_RS00820,0.7181899610215382,0.7434684247098626,0.7052884403993878,ntrC,1.3368653666666666,-0.52513,4.7884,1h_SI8,1h,SI8,1h_co,1h,co,5.31353
N900_RS00825,0.3284739997601898,0.2892598951142394,0.29587568323592833,ntrB,0.7965356883333333,-0.76746,3.5315,3h_SI4,3h,SI4,6h_st,6h,st,4.29896
N900_RS00830,0.5133916864888212,0.389316334262365,0.4429373525608175,N900_RS00830,0.5607836883333334,-0.8329,3.6627,3h_SI1,3h,SI1,3h_SI3,3h,SI3,4.4956
N900_RS00835,0.601721267188958,0.5835962377075888,0.48880052825801507,glnA,0.8209512333333334,-2.1525,4.3908,12h_ce,12h,ce,1h_ce,1h,ce,6.5432999999999995
N900_RS00840,0.6821898036037166,0.6517434965310965,0.6792720937986414,N900_RS00840,1.4161308683333333,-0.877,5.6434,1h_co,1h,co,3h_SI1,3h,SI1,6.5203999999999995
N900_RS00845,0.1850949943192992,0.19800817914914132,0.1987353808690521,typA,0.78737738,-0.89425,3.5806,1h_st,1h,st,3h_SI3,3h,SI3,4.47485
N900_RS00850,0.5562220323976166,0.5811780951589879,0.5493786039094924,ATPase,1.2699065,-0.42999,4.2667,6h_SI3,6h,SI3,3h_SI4,3h,SI4,4.69669
N900_RS00855,0.5557255517525239,0.5432390359607532,0.5431845218185042,VC0395_A2314_BLAST,0.678074905,-0.96636,3.8005,12h_st,12h,st,6h_SI2,6h,SI2,4.76686
N900_RS00860,0.47756590332499466,0.4728172597659375,0.4467932099675094,dtd,1.215039201666667,-0.32542,4.8978,3h_SI3,3h,SI3,3h_SI5,3h,SI5,5.22322
N900_RS00865,0.3996498890820174,0.3505017541550238,0.33951885995508785,GNAT family N-acetyltransferase_2,0.7499508216666666,-0.54857,4.1935,3h_st,3h,st,6h_st,6h,st,4.74207
N900_RS00870,0.4245107391902525,0.426430924623388,0.3867471854910969,asma_2,1.1580553666666666,-0.20654,3.6105,12h_st,12h,st,12h_SI1,12h,SI1,3.81704
N900_RS00875,0.5113311002813656,0.5471271849652504,0.587392739152156,pckA,1.7890471666666667,-0.21375,5.4573,1h_SI9,1h,SI9,3h_SI2,3h,SI2,5.67105
N900_RS00880,0.43540674523984274,0.48006000679638666,0.47609241945502656,hslo,-0.5956317333333333,-3.5484,3.2289,6h_SI7,6h,SI7,1h_st,1h,st,6.7773
N900_RS00885,0.6035798342865165,0.6680062731642796,0.5935474884453177,hslR,1.586963933333333,-0.24213,6.3869,1h_co,1h,co,3h_SI5,3h,SI5,6.62903
N900_RS00890,0.2929213801370617,0.37118123868054387,0.32983931290489116,gspC,0.7925288999999999,-0.90995,4.1697,12h_SI1,12h,SI1,3h_SI1,3h,SI1,5.07965
N900_RS00895,0.13615617163862,0.1440474336184829,0.013598123055227508,gspD,1.7179854600000002,-0.15869,3.9483,6h_SI9,6h,SI9,12h_st,12h,st,4.10699
N900_RS00900,0.1433544834323941,0.1529427665426257,0.017315195048351734,gspE,1.7992057999999995,-0.10818,4.0041,6h_SI9,6h,SI9,12h_st,12h,st,4.11228
N900_RS00905,0.14829927292774633,0.14851031009442767,0.06320295288817544,gspF,1.8910172000000003,-0.065448,4.0416,6h_SI9,6h,SI9,12h_st,12h,st,4.107048
N900_RS00910,0.1967720210092481,0.22843411487521875,0.10691324236458173,gspG,1.9260644333333337,-0.067187,5.3857,6h_SI9,6h,SI9,1h_co,1h,co,5.452887
N900_RS00915,0.7160803895897893,0.681756040942843,0.5100449013082952,epsH,-0.012676316666666698,-4.0234,3.8558,1h_SI6,1h,SI6,12h_SI3,12h,SI3,7.879199999999999
N900_RS00920,0.13816747414936664,0.14869700498376748,0.015133144708314792,gspI,1.8283991166666667,-0.061413,4.0456,6h_SI9,6h,SI9,12h_st,12h,st,4.107013
N900_RS00925,0.9613905336799815,0.8847393500312908,0.8906365948467033,gspJ,0.005504218653333334,-0.00016616,0.31094,12h_ce,12h,ce,6h_SI2,6h,SI2,0.31110616
N900_RS00930,0.1431811401537814,0.15814811460194558,0.0340606592733641,epsK,0.9858294983333333,-0.8007,3.0919,12h_SI9,12h,SI9,12h_st,12h,st,3.8926
N900_RS00940,0.24492085304578542,0.21417514040805527,0.20474881820349952,epsM,0.7762354333333334,-1.2819,2.7012,12h_SI7,12h,SI7,12h_st,12h,st,3.9831000000000003
N900_RS00945,0.26198513880665775,0.24712795859128223,0.23051014309882004,epsN,0.8750885166666665,-0.65876,4.3504,1h_st,1h,st,6h_SI4,6h,SI4,5.00916
N900_RS00950,0.7854459871424494,0.8028669311379563,0.8034922777129159,cysQ,0.08073376333333333,-1.6257,2.6415,12h_SI1,12h,SI1,3h_SI3,3h,SI3,4.2672
N900_RS00955,0.5999576428828833,0.5885207938239303,0.6310162748258239,nudE,1.54856882,-0.51481,4.6003,6h_SI1,6h,SI1,6h_ce,6h,ce,5.11511
