Gene,Gene_label,Model,Time,Space,Raw_fitness
N900_RS00365,mdtL_1,CPVAE,24h,SI4,0.95365217755987
N900_RS00365,mdtL_1,CPVAE,24h,SI5,0.7911294894454209
N900_RS00365,mdtL_1,CPVAE,24h,SI6,0.8226225568758956
N900_RS00365,mdtL_1,CPVAE,24h,SI7,0.800648198321248
N900_RS00365,mdtL_1,CPVAE,24h,SI8,0.7134104721616634
N900_RS00365,mdtL_1,CPVAE,24h,SI9,0.8093383132774026
N900_RS00365,mdtL_1,CPVAE,24h,ce,0.8100893735732926
N900_RS00365,mdtL_1,CPVAE,24h,co,1.004140982817075
N900_RS14590,N900_RS14590,Observed,1h,st,5.430000000000001
N900_RS14590,N900_RS14590,Observed,1h,SI1,0.77556
N900_RS14590,N900_RS14590,Observed,1h,SI2,1.0747
N900_RS14590,N900_RS14590,Observed,1h,SI3,0.5782800000000001
N900_RS14590,N900_RS14590,Observed,1h,SI4,0.43242
N900_RS14590,N900_RS14590,Observed,1h,SI5,0.6247600000000001
N900_RS14590,N900_RS14590,Observed,1h,SI6,0.49635
N900_RS14590,N900_RS14590,Observed,1h,SI7,0.67756
N900_RS14590,N900_RS14590,Observed,1h,SI8,0.4451199999999999
N900_RS14590,N900_RS14590,Observed,1h,SI9,0.73046
N900_RS14590,N900_RS14590,Observed,1h,ce,-0.2306099999999999
N900_RS14590,N900_RS14590,Observed,1h,co,0.7428
N900_RS14590,N900_RS14590,Observed,3h,st,0.38812
N900_RS14590,N900_RS14590,Observed,3h,SI1,4.8345
N900_RS14590,N900_RS14590,Observed,3h,SI2,4.7912
N900_RS14590,N900_RS14590,Observed,3h,SI3,3.5565
N900_RS14590,N900_RS14590,Observed,3h,SI4,0.36121
N900_RS14590,N900_RS14590,Observed,3h,SI5,4.3965
N900_RS14590,N900_RS14590,Observed,3h,SI6,1.2577
N900_RS14590,N900_RS14590,Observed,3h,SI7,1.3841
N900_RS14590,N900_RS14590,Observed,3h,SI8,2.6121
N900_RS14590,N900_RS14590,Observed,3h,SI9,1.3547
N900_RS14590,N900_RS14590,Observed,3h,ce,0.73553
N900_RS14590,N900_RS14590,Observed,3h,co,0.65625
N900_RS14590,N900_RS14590,Observed,6h,st,0.4856499999999999
N900_RS14590,N900_RS14590,Observed,6h,SI1,3.0171
N900_RS14590,N900_RS14590,Observed,6h,SI2,4.9461
N900_RS14590,N900_RS14590,Observed,6h,SI3,-0.13646
N900_RS14590,N900_RS14590,Observed,6h,SI4,2.8037
N900_RS14590,N900_RS14590,Observed,6h,SI5,3.4886999999999997
N900_RS14590,N900_RS14590,Observed,6h,SI6,0.72162
N900_RS14590,N900_RS14590,Observed,6h,SI7,0.5405800000000001
N900_RS14590,N900_RS14590,Observed,6h,SI8,0.94422
N900_RS14590,N900_RS14590,Observed,6h,SI9,0.51231
N900_RS14590,N900_RS14590,Observed,6h,ce,1.1446
N900_RS14590,N900_RS14590,Observed,6h,co,1.849
N900_RS14590,N900_RS14590,Observed,12h,st,0.92441
N900_RS14590,N900_RS14590,Observed,12h,SI1,4.416900000000001
N900_RS14590,N900_RS14590,Observed,12h,SI2,4.5807
N900_RS14590,N900_RS14590,Observed,12h,SI3,2.082
N900_RS14590,N900_RS14590,Observed,12h,SI4,1.4258
N900_RS14590,N900_RS14590,Observed,12h,SI5,1.9435
N900_RS14590,N900_RS14590,Observed,12h,SI6,1.3613
N900_RS14590,N900_RS14590,Observed,12h,SI7,1.2781
N900_RS14590,N900_RS14590,Observed,12h,SI8,0.98621
N900_RS14590,N900_RS14590,Observed,12h,SI9,1.418
N900_RS14590,N900_RS14590,Observed,12h,ce,1.8072
N900_RS14590,N900_RS14590,Observed,12h,co,0.50166
N900_RS14590,N900_RS14590,Observed,24h,st,1.1235
N900_RS14590,N900_RS14590,Observed,24h,SI1,1.6334
N900_RS14590,N900_RS14590,Observed,24h,SI2,1.6998
N900_RS14590,N900_RS14590,Observed,24h,SI3,1.3584
N900_RS14590,N900_RS14590,Observed,24h,SI4,1.2276
N900_RS14590,N900_RS14590,Observed,24h,SI5,1.2521
N900_RS14590,N900_RS14590,Observed,24h,SI6,1.0604
N900_RS14590,N900_RS14590,Observed,24h,SI7,1.0504
N900_RS14590,N900_RS14590,Observed,24h,SI8,0.92232
N900_RS14590,N900_RS14590,Observed,24h,SI9,1.0027
N900_RS14590,N900_RS14590,Observed,24h,ce,0.8640299999999999
N900_RS14590,N900_RS14590,Observed,24h,co,0.93848
N900_RS14590,N900_RS14590,PCA,1h,st,1.1259551239266885
N900_RS14590,N900_RS14590,PCA,1h,SI1,1.7203966929777237
N900_RS14590,N900_RS14590,PCA,1h,SI2,1.175160625285596
N900_RS14590,N900_RS14590,PCA,1h,SI3,0.497559825338691
N900_RS14590,N900_RS14590,PCA,1h,SI4,0.2291121836622183
N900_RS14590,N900_RS14590,PCA,1h,SI5,0.1125409767523235
N900_RS14590,N900_RS14590,PCA,1h,SI6,0.0586434857566429
N900_RS14590,N900_RS14590,PCA,1h,SI7,0.1494944761118668
N900_RS14590,N900_RS14590,PCA,1h,SI8,0.1791168807112337
N900_RS14590,N900_RS14590,PCA,1h,SI9,0.38559917532227
N900_RS14590,N900_RS14590,PCA,1h,ce,1.3280551679186194
N900_RS14590,N900_RS14590,PCA,1h,co,1.6299935198556446
N900_RS14590,N900_RS14590,PCA,3h,st,1.6882208657320774
N900_RS14590,N900_RS14590,PCA,3h,SI1,4.521442162614612
N900_RS14590,N900_RS14590,PCA,3h,SI2,4.6984855829778756
N900_RS14590,N900_RS14590,PCA,3h,SI3,2.219722301479118
N900_RS14590,N900_RS14590,PCA,3h,SI4,1.8075294396488089
N900_RS14590,N900_RS14590,PCA,3h,SI5,2.8532842429611285
N900_RS14590,N900_RS14590,PCA,3h,SI6,1.8870391660639911
N900_RS14590,N900_RS14590,PCA,3h,SI7,2.28214448106021
N900_RS14590,N900_RS14590,PCA,3h,SI8,1.903181286614903
N900_RS14590,N900_RS14590,PCA,3h,SI9,1.714805904496783
N900_RS14590,N900_RS14590,PCA,3h,ce,0.5991131289314089
N900_RS14590,N900_RS14590,PCA,3h,co,0.4522413221775123
N900_RS14590,N900_RS14590,PCA,6h,st,1.2679688359938233
N900_RS14590,N900_RS14590,PCA,6h,SI1,2.576453855846272
N900_RS14590,N900_RS14590,PCA,6h,SI2,3.293350584054892
N900_RS14590,N900_RS14590,PCA,6h,SI3,3.2889497594963366
N900_RS14590,N900_RS14590,PCA,6h,SI4,2.844745981290351
N900_RS14590,N900_RS14590,PCA,6h,SI5,2.5230744234730267
N900_RS14590,N900_RS14590,PCA,6h,SI6,1.0309682586173894
N900_RS14590,N900_RS14590,PCA,6h,SI7,0.9096811148675128
N900_RS14590,N900_RS14590,PCA,6h,SI8,1.0332169653718415
N900_RS14590,N900_RS14590,PCA,6h,SI9,0.9692922635308068
N900_RS14590,N900_RS14590,PCA,6h,ce,1.6695299139911657
N900_RS14590,N900_RS14590,PCA,6h,co,1.0587131139770836
N900_RS14590,N900_RS14590,PCA,12h,st,1.847584904583778
N900_RS14590,N900_RS14590,PCA,12h,SI1,3.3217506106755827
N900_RS14590,N900_RS14590,PCA,12h,SI2,3.308437873614177
N900_RS14590,N900_RS14590,PCA,12h,SI3,3.0393628013623872
N900_RS14590,N900_RS14590,PCA,12h,SI4,2.19377158145889
N900_RS14590,N900_RS14590,PCA,12h,SI5,1.2749460026501218
N900_RS14590,N900_RS14590,PCA,12h,SI6,0.9334211386186432
N900_RS14590,N900_RS14590,PCA,12h,SI7,0.8233503331664683
N900_RS14590,N900_RS14590,PCA,12h,SI8,1.1156338802801808
N900_RS14590,N900_RS14590,PCA,12h,SI9,1.020999692130014
N900_RS14590,N900_RS14590,PCA,12h,ce,1.284060987875176
N900_RS14590,N900_RS14590,PCA,12h,co,1.0568265526643126
N900_RS14590,N900_RS14590,PCA,24h,st,1.952262986950045
N900_RS14590,N900_RS14590,PCA,24h,SI1,2.046341878721205
N900_RS14590,N900_RS14590,PCA,24h,SI2,1.7170908329625878
N900_RS14590,N900_RS14590,PCA,24h,SI3,1.6051196633132323
