Program,Program_number,Space,mean_abs_loading,signed_mean_loading,max_abs_loading,Niche,Peak_space,Peak_niche,Peak_mean_abs_loading
CPVAE2,2,SI4,0.00323444536770688,-0.0024672543921042,0.0073685864917933,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI5,0.00395825367886566,-0.00301937970798462,0.0090175382792949,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI6,0.01646135745104396,-0.01255682262126356,0.0375016182661056,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI7,0.01860547687392676,-0.01419236969668416,0.0423862673342227,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI8,0.02553792190738018,-0.01948048057965934,0.0581794902682304,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,SI9,0.033931350521743245,-0.02588303852826356,0.0773010700941085,small_intestine,ce,cecum,0.05641017481684683
CPVAE2,2,ce,0.05641017481684683,-0.0430300213396549,0.128511443734169,cecum,ce,cecum,0.05641017481684683
CPVAE2,2,co,0.04899405175819988,-0.0373729578219354,0.1116163283586502,colon,ce,cecum,0.05641017481684683
CPVAE2,2,st,0.01120879219379272,0.00855013413820416,0.0255354307591915,stomach,ce,cecum,0.05641017481684683
CPVAE3,3,SI1,0.04011533908778796,-0.039989247021730956,0.1251856684684753,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI2,0.045694047684082716,0.0455504204088356,0.1425948292016983,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI3,0.009072311427735227,-0.009043794991157452,0.0283114481717348,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI4,0.019880656775785578,-0.01981816713814622,0.0620404407382011,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI5,0.02031575534783764,-0.020251898092101282,0.0633982270956039,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI6,0.01932222205505238,-0.01926148771017322,0.0602977648377418,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI7,0.0180113572190748,-0.017954743231530283,0.0562070235610008,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI8,0.007406380273459889,-0.007383100256265551,0.0231126714497804,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,SI9,0.00036307779528212824,-0.0003619365553276785,0.0011330363340675,small_intestine,SI2,small_intestine,0.045694047684082716
CPVAE3,3,ce,0.0008702387264747592,0.0008675033587678407,0.0027157047297805,cecum,SI2,small_intestine,0.045694047684082716
CPVAE3,3,co,0.002978929908203963,0.0029695664223253967,0.0092961778864264,colon,SI2,small_intestine,0.045694047684082716
CPVAE3,3,st,0.04374735432793382,0.04360984598170034,0.1365198940038681,stomach,SI2,small_intestine,0.045694047684082716
CPVAE4,4,SI1,0.04405845571309324,0.012041590921580803,0.0989201962947845,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI2,0.045835874974727575,0.01252737492322922,0.1029108613729476,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI3,0.04703399855643506,0.012854833714663982,0.105600893497467,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI4,0.04455724162980908,0.012177913356572402,0.1000400707125663,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI5,0.00448638374218714,0.0012261708616279,0.0100728441029787,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI6,0.01216501817107196,-0.00332481376826764,0.0273129399865865,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI7,0.01386373434215776,-0.0037890890613198405,0.0311269033700227,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI8,0.01023667720146472,-0.00279778013937176,0.0229834225028753,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,SI9,0.01010497834067788,-0.0027617854299024002,0.0226877313107252,small_intestine,st,stomach,0.05578257068991656
CPVAE4,4,ce,0.0048173840041271804,0.00131663634674626,0.0108160069212317,cecum,st,stomach,0.05578257068991656
CPVAE4,4,co,0.00217895277892234,-0.00059552832390182,0.0048921923153102,colon,st,stomach,0.05578257068991656
CPVAE4,4,st,0.05578257068991656,0.015245900303125401,0.1252432167530059,stomach,st,stomach,0.05578257068991656
