Gene,PCA_MSE,CP_MSE,VAE_MSE,CPVAE_MSE,Best_non_CPVAE_MSE,Best_non_CPVAE_model,CPVAE_advantage_vs_best_other,CPVAE_advantage_vs_PCA,CPVAE_advantage_vs_CP,CPVAE_advantage_vs_VAE,CPVAE_rank_used,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Gene_label
N900_RS00125,0.1825455129318818,0.1437719243192178,0.3064415022973665,0.14141724755818116,0.1437719243192178,CP,0.0023546767610366226,0.04112826537370062,0.0023546767610366226,0.16502425473918533,10,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552,acuI
N900_RS00130,0.14998862225915727,0.12150531587785295,0.21687964658057152,0.14686359281380915,0.12150531587785295,CP,-0.0253582769359562,0.003125029445348121,-0.0253582769359562,0.07001605376676237,10,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221,ilvA
N900_RS00135,0.29365842115243634,0.3249655056208767,0.5171049313249644,0.2590475297865367,0.29365842115243634,PCA,0.03461089136589962,0.03461089136589962,0.06591797583434,0.25805740153842766,10,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192,ilvD
N900_RS00140,0.3825770930089835,0.4159129347599327,0.6595709292635199,0.2946852261799399,0.3825770930089835,PCA,0.0878918668290436,0.0878918668290436,0.12122770857999277,0.36488570308358,10,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822,ilvE
N900_RS00145,0.38022647152403244,0.40762951954750354,0.560472782100831,0.24850514604575447,0.38022647152403244,PCA,0.13172132547827797,0.13172132547827797,0.15912437350174907,0.3119676360550765,10,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372,ilvM
N900_RS00150,0.2700871295776797,0.2901459173396631,0.43528207058119694,0.3225381047700288,0.2700871295776797,PCA,-0.05245097519234909,-0.05245097519234909,-0.032392187430365704,0.11274396581116813,10,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103,ilvG
N900_RS00155,0.39557562831745513,0.4239604929118969,0.6993644323487607,0.4459221572133226,0.39557562831745513,PCA,-0.05034652889586749,-0.05034652889586749,-0.02196166430142571,0.25344227513543804,10,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637,yifb
N900_RS00160,0.2546029248712723,0.25665323015556085,0.40046829388826277,0.20905459870678503,0.2546029248712723,PCA,0.04554832616448726,0.04554832616448726,0.047598631448775824,0.19141369518147774,10,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999,yihG
N900_RS00165,0.29683200966649675,0.38702499419391845,0.42979093007902863,0.3481557358426532,0.29683200966649675,PCA,-0.05132372617615644,-0.05132372617615644,0.03886925835126526,0.08163519423637544,10,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103,dsba
N900_RS00170,0.16285521725831487,0.1795765617907084,0.2889557419095906,0.1657272191220751,0.16285521725831487,PCA,-0.002872001863760243,-0.002872001863760243,0.013849342668633302,0.1232285227875155,10,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417,serine/threonine protein kinase
N900_RS00175,0.216680287132759,0.2403589247843785,0.5084656325247605,0.27769126174062464,0.216680287132759,PCA,-0.06101097460786564,-0.06101097460786564,-0.03733233695624613,0.23077437078413587,10,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365,ccoG
N900_RS00180,0.41295262146176237,0.4585216455188978,0.8568326139275815,0.4094690781191917,0.41295262146176237,PCA,0.003483543342570672,0.003483543342570672,0.04905256739970609,0.4473635358083898,10,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001,yihD
N900_RS00185,0.3898813263175312,0.42117470027715037,0.6619013453016208,0.3511990972322027,0.3898813263175312,PCA,0.03868222908532848,0.03868222908532848,0.06997560304494765,0.3107022480694181,10,N900_RS00185,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053,N900_RS00185
N900_RS00190,0.14052250475933942,0.17572195438826493,0.4058487264624066,0.11879594743028546,0.14052250475933942,PCA,0.021726557329053958,0.021726557329053958,0.056926006957979475,0.2870527790321211,10,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974,SpoOM-related protein
N900_RS00195,0.423006804517515,0.4225976677235448,0.652956018905128,0.44304344124918843,0.4225976677235448,CP,-0.02044577352564364,-0.02003663673167344,-0.02044577352564364,0.20991257765593957,10,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508,yqfA
N900_RS00200,0.3123805820833573,0.26395701151929746,0.5297240980213739,0.30813307588085814,0.26395701151929746,CP,-0.044176064361560685,0.004247506202499141,-0.044176064361560685,0.22159102214051574,10,N900_RS00200,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392,N900_RS00200
N900_RS00205,0.17573998193449575,0.19329957739480932,0.3960439334672742,0.12028429205499083,0.17573998193449575,PCA,0.055455689879504916,0.055455689879504916,0.07301528533981849,0.2757596414122834,10,trkI,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062,trkI
N900_RS00215,0.24199448599174234,0.2086550294421726,0.5904861847641871,0.26924485998677095,0.2086550294421726,CP,-0.06058983054459835,-0.02725037399502861,-0.06058983054459835,0.3212413247774162,10,rsmB,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992,rsmB
N900_RS00225,0.5108275264726942,0.6155597478933523,0.8341558672822508,0.6364475346270003,0.5108275264726942,PCA,-0.12562000815430607,-0.12562000815430607,-0.020887786733647995,0.19770833265525045,10,def1,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687,def1
N900_RS00230,0.28759620382063594,0.2865987354227063,0.48480874618081293,0.2561892243888357,0.2865987354227063,CP,0.03040951103387063,0.031406979431800264,0.03040951103387063,0.22861952179197725,10,N900_RS00230,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887,N900_RS00230
N900_RS00235,0.1640281042433555,0.2156038288145381,0.3206802044772731,0.20932227855910368,0.1640281042433555,PCA,-0.04529417431574817,-0.04529417431574817,0.0062815502554344205,0.1113579259181694,10,dprA,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891,dprA
N900_RS00240,0.6240612870831551,0.6459647804507005,0.9124220300722886,0.4293923425866589,0.6240612870831551,PCA,0.1946689444964962,0.1946689444964962,0.21657243786404157,0.4830296874856297,10,smg,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933,smg
N900_RS00245,0.12495539886776695,0.11502824273944706,0.2810502193067345,0.11417646916762175,0.11502824273944706,CP,0.0008517735718253094,0.010778929700145198,0.0008517735718253094,0.16687375013911276,10,topA_1,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723,topA_1
N900_RS00250,0.29619519905946734,0.29439050065039585,0.5567160416171258,0.2532457186857414,0.29439050065039585,CP,0.04114478196465443,0.04294948037372592,0.04114478196465443,0.30347032293138443,10,purK,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8,purK
N900_RS00255,0.19595388867743366,0.20236745138197296,0.2744290992913976,0.1298442561133663,0.19595388867743366,PCA,0.06610963256406735,0.06610963256406735,0.07252319526860665,0.14458484317803127,10,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378,purE
N900_RS00260,0.17667122580318967,0.1788032831606622,0.42611038421008945,0.18042005282583629,0.17667122580318967,PCA,-0.003748827022646617,-0.003748827022646617,-0.0016167696651740726,0.24569033138425317,10,tsaC,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326,tsaC
N900_RS00265,0.46286213876377186,0.5274859674933612,0.8954414672133025,0.46476950368805586,0.46286213876377186,PCA,-0.0019073649242840052,-0.0019073649242840052,0.06271646380530532,0.43067196352524667,10,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634,hemF
N900_RS00270,0.14620679273262766,0.22302015661196847,0.3863335586225473,0.17820927079694193,0.14620679273262766,PCA,-0.03200247806431428,-0.03200247806431428,0.04481088581502654,0.20812428782560538,10,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155,aroE
N900_RS00275,0.13274298043181815,0.12933480643123588,0.22651499556559337,0.0970049378050453,0.12933480643123588,CP,0.03232986862619058,0.035738042626772853,0.03232986862619058,0.12951005776054808,10,N900_RS00275,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776,N900_RS00275
N900_RS00280,0.2530902004314233,0.33658634239034707,0.540312231877991,0.24759373315479677,0.2530902004314233,PCA,0.005496467276626504,0.005496467276626504,0.0889926092355503,0.2927184987231943,10,yrdA,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939,yrdA
N900_RS00320,0.20682525352870032,0.20280621404290422,0.28069523436972205,0.22929901595260854,0.20280621404290422,CP,-0.026492801909704322,-0.022473762423908222,-0.026492801909704322,0.051396218417113504,10,crcB,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577,crcB
N900_RS00325,0.2957306340646068,0.2443572980834596,0.5600398755263811,0.24833478685213864,0.2443572980834596,CP,-0.003977488768679038,0.04739584721246817,-0.003977488768679038,0.3117050886742425,10,thiC,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671,thiC
N900_RS00330,0.584391332102369,0.6436920774257708,0.7968542301185884,0.6191979511185934,0.584391332102369,PCA,-0.034806619016224394,-0.034806619016224394,0.0244941263071774,0.17765627899999492,10,thiE,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687,thiE
N900_RS00335,0.471654112561057,0.4890546645843092,0.7401661948961709,0.5173344480878384,0.471654112561057,PCA,-0.04568033552678136,-0.04568033552678136,-0.028279783503529166,0.2228317468083325,10,thiF,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261,thiF
N900_RS00340,0.11104221303795117,0.1034765470908763,0.40704726231714633,0.11860863441748852,0.1034765470908763,CP,-0.015132087326612226,-0.00756642137953735,-0.015132087326612226,0.2884386278996578,10,thiS,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345,thiS
N900_RS00345,0.41783336736906845,0.43081522407140904,0.6723925329515086,0.40651347886025074,0.41783336736906845,PCA,0.01131988850881771,0.01131988850881771,0.0243017452111583,0.26587905409125784,10,thiG,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999,thiG
N900_RS00350,0.1471922203145402,0.14875745014236905,0.21589347535427372,0.1428545353652087,0.1471922203145402,PCA,0.004337684949331511,0.004337684949331511,0.005902914777160345,0.07303893998906502,10,thiH,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773,thiH
N900_RS00355,0.2318171182605809,0.2796318913786441,0.5477970482017354,0.2899483274023399,0.2318171182605809,PCA,-0.05813120914175898,-0.05813120914175898,-0.010316436023695807,0.25784872079939547,10,aminopeptidase P,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001,aminopeptidase P
N900_RS00360,0.5436492085380584,0.4904620609912926,0.6675283944928447,0.3569137487367489,0.4904620609912926,CP,0.13354831225454367,0.1867354598013095,0.13354831225454367,0.3106146457560958,10,LysR family transcriptional regulator_1,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586,LysR family transcriptional regulator_1
N900_RS00365,0.5119872180574888,0.4864045022148604,0.7560650343641749,0.18568619447171783,0.4864045022148604,CP,0.30071830774314257,0.32630102358577096,0.30071830774314257,0.5703788398924571,10,mdtL_1,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001,mdtL_1
N900_RS00370,0.30081170393739676,0.5038458631397233,0.8702846032162809,0.27370710749273797,0.30081170393739676,PCA,0.02710459644465879,0.02710459644465879,0.23013875564698538,0.5965774957235429,10,N900_RS00370,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569,N900_RS00370
N900_RS00375,0.4410836392099521,0.6155596156393066,0.805822543981342,0.47265806449237485,0.4410836392099521,PCA,-0.03157442528242277,-0.03157442528242277,0.14290155114693176,0.33316447948896716,10,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972,asnC
N900_RS00380,0.2057648578099172,0.22682805808340112,0.40933219111771657,0.2308562974665745,0.2057648578099172,PCA,-0.025091439656657277,-0.025091439656657277,-0.004028239383173371,0.17847589365114208,10,N900_RS00380,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049,N900_RS00380
N900_RS00385,0.11803275623732487,0.10797141610489004,0.23968359173768403,0.10545623801457973,0.10797141610489004,CP,0.0025151780903103077,0.012576518222745137,0.0025151780903103077,0.1342273537231043,10,rsmJ,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134,rsmJ
N900_RS00390,0.43560735084484653,0.329699566006666,0.6115058413964927,0.35708962891888074,0.329699566006666,CP,-0.02739006291221474,0.07851772192596579,-0.02739006291221474,0.2544162124776119,10,N900_RS00390,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143,N900_RS00390
N900_RS00395,0.3454412881764319,0.44341336737374976,0.6107917556365116,0.3690111613226612,0.3454412881764319,PCA,-0.023569873146229325,-0.023569873146229325,0.07440220605108855,0.24178059431385035,10,eamA_2,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505,eamA_2
N900_RS00400,0.5772465086976709,0.6832886222300056,0.8812180194471693,0.47282669290911244,0.5772465086976709,PCA,0.10441981578855847,0.10441981578855847,0.2104619293208932,0.4083913265380568,10,uspA_1,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563,uspA_1
N900_RS00410,0.41184182416856757,0.48285390034719705,0.7762468445280069,0.40758934736151153,0.41184182416856757,PCA,0.004252476807056038,0.004252476807056038,0.07526455298568552,0.3686574971664953,10,ftnA,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539,ftnA
N900_RS00415,0.21173306469132688,0.23255358718972713,0.36783066484450866,0.21109454521817142,0.21173306469132688,PCA,0.0006385194731554633,0.0006385194731554633,0.02145904197155571,0.15673611962633724,10,uspB,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663,uspB
N900_RS00420,0.45193752862176134,0.4631950648200063,0.7380751673082349,0.3524160876153581,0.45193752862176134,PCA,0.09952144100640326,0.09952144100640326,0.11077897720464819,0.38565907969287677,10,rdsA_BLAST,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184,rdsA_BLAST
N900_RS00425,0.21569114746200127,0.35866847030811855,0.575403591596035,0.2171070854696908,0.21569114746200127,PCA,-0.0014159380076895212,-0.0014159380076895212,0.14156138483842776,0.3582965061263442,10,eamA_1,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277,eamA_1
N900_RS00430,0.3511033601851646,0.40182368293689325,0.6271632402230018,0.4002100244842202,0.3511033601851646,PCA,-0.049106664299055636,-0.049106664299055636,0.001613658452673028,0.22695321573878163,10,rmuC,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259,rmuC
N900_RS00440,0.29169512381214596,0.47122431569741874,0.5547963583844521,0.3664435028409317,0.29169512381214596,PCA,-0.07474837902878573,-0.07474837902878573,0.10478081285648705,0.18835285554352038,10,ubiJ,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005,ubiJ
N900_RS00450,0.5707123875921051,0.538796888768131,0.7576239493418363,0.6391169165214168,0.538796888768131,CP,-0.10032002775328575,-0.0684045289293117,-0.10032002775328575,0.11850703282041952,10,tatA,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789,tatA
N900_RS00455,0.19415465225957892,0.22040261834987002,0.32015336088376195,0.19845330134174746,0.19415465225957892,PCA,-0.0042986490821685375,-0.0042986490821685375,0.021949317008122554,0.12170005954201449,10,tatB,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493,tatB
N900_RS00460,0.3824309658470311,0.3729577158590407,0.6366813671846948,0.3965422448062494,0.3729577158590407,CP,-0.023584528947208694,-0.014111278959218265,-0.023584528947208694,0.24013912237844542,10,tatC,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126,tatC
N900_RS00465,0.14990375529692646,0.1807175196400995,0.37043685501200774,0.1681500349417195,0.14990375529692646,PCA,-0.018246279644793056,-0.018246279644793056,0.012567484698379983,0.20228682007028823,10,ccp,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436,ccp
N900_RS00470,0.4585879886375737,0.425342586335483,0.60134877226272,0.3958717112704098,0.425342586335483,CP,0.029470875065073177,0.0627162773671639,0.029470875065073177,0.20547706099231017,10,dinF,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883,dinF
N900_RS00475,0.606827277203897,0.5626770193055406,0.8321718567548484,0.7579540233374767,0.5626770193055406,CP,-0.19527700403193615,-0.1511267461335798,-0.19527700403193615,0.07421783341737165,10,class I SAM-dependent methyltransferase_2,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974,class I SAM-dependent methyltransferase_2
N900_RS00480,0.624376717013517,0.5773167404173003,0.7992931739122988,0.6762594642006043,0.5773167404173003,CP,-0.09894272378330404,-0.0518827471870873,-0.09894272378330404,0.12303370971169447,10,lexA,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448,lexA
N900_RS00485,0.6107982575469144,0.5850024300985285,0.7617367145031639,0.6113707747462048,0.5850024300985285,CP,-0.026368344647676345,-0.0005725171992904121,-0.026368344647676345,0.1503659397569591,10,plsB,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294,plsB
N900_RS00490,0.10352337213687128,0.153220770392545,0.14432767207562447,0.028002956392501728,0.10352337213687128,PCA,0.07552041574436955,0.07552041574436955,0.12521781400004328,0.11632471568312275,10,ubiA,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693,ubiA
N900_RS00495,0.21719653467400343,0.30266853946062977,0.40739391272843484,0.2511243614649434,0.21719653467400343,PCA,-0.03392782679093995,-0.03392782679093995,0.05154417799568639,0.15626955126349146,10,chorismate lyase,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243,chorismate lyase
N900_RS00505,0.6404313616702733,0.7557529652969751,0.9370754359437699,0.5754829910274247,0.6404313616702733,PCA,0.06494837064284853,0.06494837064284853,0.18026997426955038,0.3615924449163451,10,fliL_2,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87,fliL_2
N900_RS00510,0.4494740971510299,0.48528781062365517,0.6084793091789132,0.26241579306811696,0.4494740971510299,PCA,0.18705830408291296,0.18705830408291296,0.2228720175555382,0.3460635161107963,10,methyl-accepting chemotaxis protein_4,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336,methyl-accepting chemotaxis protein_4
N900_RS00515,0.21857609030074213,0.23600120621681123,0.3721196216022725,0.20787528206674297,0.21857609030074213,PCA,0.01070080823399916,0.01070080823399916,0.02812592415006826,0.16424433953552955,10,glpG,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149,glpG
N900_RS00520,0.40298438249518453,0.5079949341158118,0.69780335087253,0.44818135297836287,0.40298438249518453,PCA,-0.045196970483178334,-0.045196970483178334,0.05981358113744889,0.2496219978941671,10,glpE,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836,glpE
N900_RS00525,0.28960029401074394,0.33865186207939685,0.37867955702935935,0.22498858332431684,0.28960029401074394,PCA,0.0646117106864271,0.0646117106864271,0.11366327875508,0.1536909737050425,10,N900_RS00525,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833,N900_RS00525
N900_RS00530,0.659808397553236,0.6152581714425255,0.7311525470314691,0.7323012582835475,0.6152581714425255,CP,-0.11704308684102205,-0.07249286073031158,-0.11704308684102205,-0.0011487112520783826,10,tatd,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255,tatd
N900_RS00540,0.2744445144963485,0.19235954927508878,0.5403012722153391,0.26282222958848356,0.19235954927508878,CP,-0.07046268031339478,0.011622284907864933,-0.07046268031339478,0.2774790426268555,10,ypeA_1,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311,ypeA_1
N900_RS00555,0.5109096314122925,0.5686624963601079,0.6589434577294608,0.5749561087272173,0.5109096314122925,PCA,-0.06404647731492474,-0.06404647731492474,-0.006293612367109347,0.08398734900224358,10,cc4,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999,cc4
N900_RS00560,0.1879033581406547,0.18132785803755155,0.289351206372607,0.2097213380261515,0.18132785803755155,CP,-0.02839347998859995,-0.021817979885496802,-0.02839347998859995,0.07962986834645547,10,class I SAM-dependent methyltransferase_4,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008,class I SAM-dependent methyltransferase_4
N900_RS00565,0.430866709130951,0.47155922083820906,0.5833550855151353,0.4369985214170468,0.430866709130951,PCA,-0.006131812286095828,-0.006131812286095828,0.034560699421162244,0.14635656409808845,10,yihI,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476,yihI
