Rank,Model,Program_1,Program_2,Correlation,Basis_source
6,PCA,PC5,PC1,5.453731223259126e-18,first_6_programs_from_rank10_fit
6,PCA,PC5,PC2,-7.91796557472492e-18,first_6_programs_from_rank10_fit
6,PCA,PC5,PC3,-2.1669794547599077e-17,first_6_programs_from_rank10_fit
6,PCA,PC5,PC4,-1.523406707747577e-17,first_6_programs_from_rank10_fit
6,PCA,PC5,PC5,1.0,first_6_programs_from_rank10_fit
6,PCA,PC5,PC6,-4.2009053576020084e-16,first_6_programs_from_rank10_fit
6,PCA,PC6,PC1,-1.6390020933657362e-16,first_6_programs_from_rank10_fit
6,PCA,PC6,PC2,-8.658875823588397e-18,first_6_programs_from_rank10_fit
6,PCA,PC6,PC3,4.931246052290993e-16,first_6_programs_from_rank10_fit
6,PCA,PC6,PC4,-1.5525358564222555e-16,first_6_programs_from_rank10_fit
6,PCA,PC6,PC5,-4.2009053576020084e-16,first_6_programs_from_rank10_fit
6,PCA,PC6,PC6,0.9999999999999999,first_6_programs_from_rank10_fit
6,CP,CP1,CP1,1.0,first_6_programs_from_rank10_fit
6,CP,CP1,CP2,-0.13850087059892208,first_6_programs_from_rank10_fit
6,CP,CP1,CP3,0.08184640315931828,first_6_programs_from_rank10_fit
6,CP,CP1,CP4,0.0019286395527554365,first_6_programs_from_rank10_fit
6,CP,CP1,CP5,0.047107829831355814,first_6_programs_from_rank10_fit
6,CP,CP1,CP6,-0.23270570542032953,first_6_programs_from_rank10_fit
6,CP,CP2,CP1,-0.13850087059892208,first_6_programs_from_rank10_fit
6,CP,CP2,CP2,1.0,first_6_programs_from_rank10_fit
6,CP,CP2,CP3,-0.19093974304868813,first_6_programs_from_rank10_fit
6,CP,CP2,CP4,0.279925413000421,first_6_programs_from_rank10_fit
6,CP,CP2,CP5,0.224955870342643,first_6_programs_from_rank10_fit
6,CP,CP2,CP6,0.19290614090201166,first_6_programs_from_rank10_fit
6,CP,CP3,CP1,0.08184640315931829,first_6_programs_from_rank10_fit
6,CP,CP3,CP2,-0.19093974304868813,first_6_programs_from_rank10_fit
6,CP,CP3,CP3,1.0,first_6_programs_from_rank10_fit
6,CP,CP3,CP4,0.015602932739432423,first_6_programs_from_rank10_fit
6,CP,CP3,CP5,-0.014989134481181568,first_6_programs_from_rank10_fit
6,CP,CP3,CP6,-0.640659460755557,first_6_programs_from_rank10_fit
6,CP,CP4,CP1,0.0019286395527554365,first_6_programs_from_rank10_fit
6,CP,CP4,CP2,0.279925413000421,first_6_programs_from_rank10_fit
6,CP,CP4,CP3,0.015602932739432423,first_6_programs_from_rank10_fit
6,CP,CP4,CP4,1.0,first_6_programs_from_rank10_fit
6,CP,CP4,CP5,-0.17546601452661914,first_6_programs_from_rank10_fit
6,CP,CP4,CP6,-0.0006534955020224407,first_6_programs_from_rank10_fit
6,CP,CP5,CP1,0.047107829831355814,first_6_programs_from_rank10_fit
6,CP,CP5,CP2,0.224955870342643,first_6_programs_from_rank10_fit
6,CP,CP5,CP3,-0.014989134481181568,first_6_programs_from_rank10_fit
6,CP,CP5,CP4,-0.17546601452661914,first_6_programs_from_rank10_fit
6,CP,CP5,CP5,1.0,first_6_programs_from_rank10_fit
6,CP,CP5,CP6,-0.03867703248183282,first_6_programs_from_rank10_fit
6,CP,CP6,CP1,-0.23270570542032953,first_6_programs_from_rank10_fit
6,CP,CP6,CP2,0.19290614090201166,first_6_programs_from_rank10_fit
6,CP,CP6,CP3,-0.640659460755557,first_6_programs_from_rank10_fit
6,CP,CP6,CP4,-0.0006534955020224408,first_6_programs_from_rank10_fit
6,CP,CP6,CP5,-0.03867703248183282,first_6_programs_from_rank10_fit
6,CP,CP6,CP6,1.0,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE1,0.9999999999999998,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE2,0.2036426757592225,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE3,0.21639844911000003,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE4,0.49763441473547565,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE5,-0.7502539838179095,first_6_programs_from_rank10_fit
6,VAE,VAE1,VAE6,0.07037566198244422,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE1,0.20364267575922249,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE2,1.0,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE3,-0.32502206366698905,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE4,-0.30549357827814794,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE5,-0.1608245192906864,first_6_programs_from_rank10_fit
6,VAE,VAE2,VAE6,-0.34291594270494985,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE1,0.21639844911000006,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE2,-0.32502206366698905,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE3,1.0,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE4,0.8161392622627767,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE5,-0.44209533177449944,first_6_programs_from_rank10_fit
6,VAE,VAE3,VAE6,0.164064287677791,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE1,0.49763441473547565,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE2,-0.3054935782781479,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE3,0.8161392622627768,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE4,0.9999999999999998,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE5,-0.3802395169119574,first_6_programs_from_rank10_fit
6,VAE,VAE4,VAE6,-0.09629749185432263,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE1,-0.7502539838179095,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE2,-0.16082451929068636,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE3,-0.44209533177449944,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE4,-0.3802395169119574,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE5,1.0,first_6_programs_from_rank10_fit
6,VAE,VAE5,VAE6,-0.32470928933794385,first_6_programs_from_rank10_fit
6,VAE,VAE6,VAE1,0.07037566198244422,first_6_programs_from_rank10_fit
6,VAE,VAE6,VAE2,-0.3429159427049499,first_6_programs_from_rank10_fit
6,VAE,VAE6,VAE3,0.164064287677791,first_6_programs_from_rank10_fit
6,VAE,VAE6,VAE4,-0.09629749185432263,first_6_programs_from_rank10_fit
