Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
CP,CP5,5,CP 5,3h,0.406679173858423,0.4061875310744636,1.0
CP,CP5,5,CP 5,6h,0.2422601491463395,-0.24196727588942127,0.5957033571398899
CP,CP6,6,CP 6,12h,0.019948760640471335,0.0015860627641331327,0.041071324893148756
CP,CP6,6,CP 6,1h,0.07066404765675037,-0.00561827457711438,0.14548603353770898
CP,CP6,6,CP 6,24h,0.022114151509332356,-0.0017582261325143585,0.04552952024164672
CP,CP6,6,CP 6,3h,0.48571018082250994,-0.03861727782727782,1.0
CP,CP6,6,CP 6,6h,0.2441628344470681,-0.019412613499208548,0.5026924369458318
CP,CP7,7,CP 7,12h,0.1285150558749197,0.015820905347151082,0.23069960117604735
CP,CP7,7,CP 7,1h,0.1390634306288269,0.017119467896198004,0.24963517127104337
CP,CP7,7,CP 7,24h,0.004663505185013725,-0.000574102961055825,0.008371538874886454
CP,CP7,7,CP 7,3h,0.5555503693435397,-0.06839128496752457,0.9972780836316972
CP,CP7,7,CP 7,6h,0.5570666581987266,0.06857794840780039,1.0
CP,CP8,8,CP 8,12h,0.0028219634884663835,-0.00017029731247836659,0.009421395594404029
CP,CP8,8,CP 8,1h,0.006100510598565017,0.00036814812237205005,0.020367139373646155
CP,CP8,8,CP 8,24h,0.0012563996852863065,-7.582007728924338e-05,0.004194610776555419
CP,CP8,8,CP 8,3h,0.29952711996750553,0.018075593023553188,1.0
CP,CP8,8,CP 8,6h,0.03623917266873069,0.0021869289723792573,0.12098795151725202
PCA,PC1,1,PCA 1,12h,0.7278506369094786,0.02886044590761379,0.9007586236793585
PCA,PC1,1,PCA 1,1h,0.5721660698551209,-0.4360578629861223,0.7080896759080856
PCA,PC1,1,PCA 1,24h,0.3730090907105099,-0.30283853721607373,0.46162102240500547
PCA,PC1,1,PCA 1,3h,0.7401275562355547,0.47550359131489534,0.9159520444093787
PCA,PC1,1,PCA 1,6h,0.8080418191683839,0.23453236297968685,1.0
PCA,PC2,2,PCA 2,12h,0.6335178901251828,-0.1211641410195478,1.0
PCA,PC2,2,PCA 2,1h,0.42909983214256203,0.026782249193587914,0.6773286734771959
PCA,PC2,2,PCA 2,24h,0.342408135975866,-0.33674716422894546,0.5404869243837871
PCA,PC2,2,PCA 2,3h,0.5404388631776321,0.4049530715980337,0.8530759298223476
PCA,PC2,2,PCA 2,6h,0.6197459482187467,0.026175984456871398,0.9782611633844868
PCA,PC3,3,PCA 3,12h,0.42494217830809267,-0.15598096695179026,0.5541738914178784
PCA,PC3,3,PCA 3,1h,0.42859832704362716,-0.15579747579210154,0.5589419334617178
PCA,PC3,3,PCA 3,24h,0.3384442760201356,-0.32513104961401423,0.44137059356391317
PCA,PC3,3,PCA 3,3h,0.7668029564165488,0.5096731483265465,1.0
PCA,PC3,3,PCA 3,6h,0.4943020478434892,0.12723634403135972,0.6446272066470365
PCA,PC4,4,PCA 4,12h,0.5660611724745904,-0.08956983774066739,0.7954186831939588
PCA,PC4,4,PCA 4,1h,0.45453111314724604,0.021394598557270512,0.6386987079678138
PCA,PC4,4,PCA 4,24h,0.49940194400479104,-0.49940194400479104,0.7017503690427119
PCA,PC4,4,PCA 4,3h,0.7116518437832058,0.49712920678645234,1.0
PCA,PC4,4,PCA 4,6h,0.5662393108179643,0.0704479764017356,0.7956689998971754
PCA,PC5,5,PCA 5,12h,0.478533303948618,-0.12816742062813669,0.7372397239227005
PCA,PC5,5,PCA 5,1h,0.4311322256229544,-0.11295910504057648,0.6642125017626253
PCA,PC5,5,PCA 5,24h,0.3343381513553634,-0.3137202398220579,0.515089262060056
