Model,Rank,Program,Time,Space,Value,Requested_rank,Program_number,Program_label,Abs_value
VAE,10,VAE1,1h,SI1,0.006779134273529,8,1,VAE 1,0.006779134273529
VAE,10,VAE1,1h,SI2,-0.0238719768822193,8,1,VAE 1,0.0238719768822193
VAE,10,VAE1,1h,SI3,-0.0275807976722717,8,1,VAE 1,0.0275807976722717
VAE,10,VAE1,1h,SI4,-0.0145439505577087,8,1,VAE 1,0.0145439505577087
VAE,10,VAE1,1h,SI5,-0.0305772423744201,8,1,VAE 1,0.0305772423744201
VAE,10,VAE1,1h,SI6,-0.0386187434196472,8,1,VAE 1,0.0386187434196472
VAE,10,VAE1,1h,SI7,-0.0131158828735351,8,1,VAE 1,0.0131158828735351
VAE,10,VAE1,1h,SI8,-0.0522310137748718,8,1,VAE 1,0.0522310137748718
VAE,10,VAE1,1h,SI9,-0.0487549602985382,8,1,VAE 1,0.0487549602985382
VAE,10,VAE1,1h,ce,-0.0262136459350585,8,1,VAE 1,0.0262136459350585
VAE,10,VAE1,1h,co,-0.0223386883735656,8,1,VAE 1,0.0223386883735656
VAE,10,VAE1,3h,st,-0.1137933582067489,8,1,VAE 1,0.1137933582067489
VAE,10,VAE1,3h,SI1,0.091382086277008,8,1,VAE 1,0.091382086277008
VAE,10,VAE1,3h,SI2,0.0152189135551452,8,1,VAE 1,0.0152189135551452
VAE,10,VAE1,3h,SI3,-0.0359326601028442,8,1,VAE 1,0.0359326601028442
VAE,10,VAE1,3h,SI4,0.0362125635147094,8,1,VAE 1,0.0362125635147094
VAE,10,VAE1,3h,SI5,0.0609353780746459,8,1,VAE 1,0.0609353780746459
VAE,10,VAE1,3h,SI6,0.0389963686466217,8,1,VAE 1,0.0389963686466217
VAE,10,VAE1,3h,SI7,0.0337461233139038,8,1,VAE 1,0.0337461233139038
VAE,10,VAE1,3h,SI8,-0.000204399228096,8,1,VAE 1,0.000204399228096
VAE,10,VAE1,3h,SI9,-0.0406164601445198,8,1,VAE 1,0.0406164601445198
VAE,10,VAE1,3h,ce,-0.0207009613513946,8,1,VAE 1,0.0207009613513946
VAE,10,VAE1,3h,co,-0.0422625839710235,8,1,VAE 1,0.0422625839710235
VAE,10,VAE1,6h,st,-0.0577945858240127,8,1,VAE 1,0.0577945858240127
VAE,10,VAE1,6h,SI1,0.0153931379318237,8,1,VAE 1,0.0153931379318237
VAE,10,VAE1,6h,SI2,0.0040894746780395,8,1,VAE 1,0.0040894746780395
VAE,10,VAE1,6h,SI3,-0.0015455484390258,8,1,VAE 1,0.0015455484390258
VAE,10,VAE1,6h,SI4,0.0798786878585815,8,1,VAE 1,0.0798786878585815
VAE,10,VAE1,6h,SI5,0.0745840966701507,8,1,VAE 1,0.0745840966701507
VAE,10,VAE1,6h,SI6,0.0298443138599395,8,1,VAE 1,0.0298443138599395
VAE,10,VAE1,6h,SI7,0.0269343256950378,8,1,VAE 1,0.0269343256950378
VAE,10,VAE1,6h,SI8,0.00625541806221,8,1,VAE 1,0.00625541806221
VAE,10,VAE1,6h,SI9,0.0205958485603332,8,1,VAE 1,0.0205958485603332
VAE,10,VAE1,6h,ce,0.0667992681264877,8,1,VAE 1,0.0667992681264877
VAE,10,VAE1,6h,co,0.0277512520551681,8,1,VAE 1,0.0277512520551681
VAE,10,VAE1,12h,st,-0.0854242891073226,8,1,VAE 1,0.0854242891073226
VAE,10,VAE1,12h,SI1,0.0065711736679077,8,1,VAE 1,0.0065711736679077
VAE,10,VAE1,12h,SI2,0.0381177067756652,8,1,VAE 1,0.0381177067756652
VAE,10,VAE1,12h,SI3,0.0118666887283325,8,1,VAE 1,0.0118666887283325
VAE,10,VAE1,12h,SI4,0.0406217128038406,8,1,VAE 1,0.0406217128038406
VAE,10,VAE1,12h,SI5,0.0266030430793762,8,1,VAE 1,0.0266030430793762
VAE,10,VAE1,12h,SI6,0.0175963640213012,8,1,VAE 1,0.0175963640213012
VAE,10,VAE1,12h,SI7,0.0005058050155639,8,1,VAE 1,0.0005058050155639
VAE,10,VAE1,12h,SI8,0.0269337892532348,8,1,VAE 1,0.0269337892532348
VAE,10,VAE1,12h,SI9,0.028369128704071,8,1,VAE 1,0.028369128704071
VAE,10,VAE1,12h,ce,0.0141260027885437,8,1,VAE 1,0.0141260027885437
VAE,10,VAE1,12h,co,0.0031193196773529,8,1,VAE 1,0.0031193196773529
VAE,10,VAE1,24h,st,-0.008195161819458,8,1,VAE 1,0.008195161819458
VAE,10,VAE1,24h,SI1,0.002468891441822,8,1,VAE 1,0.002468891441822
VAE,10,VAE1,24h,SI2,-0.0012495517730712,8,1,VAE 1,0.0012495517730712
VAE,10,VAE1,24h,SI3,0.0016501545906066,8,1,VAE 1,0.0016501545906066
VAE,10,VAE1,24h,SI4,-0.0049097537994384,8,1,VAE 1,0.0049097537994384
VAE,10,VAE1,24h,SI5,0.0034508407115936,8,1,VAE 1,0.0034508407115936
VAE,10,VAE1,24h,SI6,0.0077490210533142,8,1,VAE 1,0.0077490210533142
VAE,10,VAE1,24h,SI7,0.0011890232563018,8,1,VAE 1,0.0011890232563018
VAE,10,VAE1,24h,SI8,-0.0161422789096832,8,1,VAE 1,0.0161422789096832
VAE,10,VAE1,24h,SI9,0.0014634728431701,8,1,VAE 1,0.0014634728431701
VAE,10,VAE1,24h,ce,-0.0163569450378417,8,1,VAE 1,0.0163569450378417
VAE,10,VAE1,24h,co,-0.0012235939502716,8,1,VAE 1,0.0012235939502716
weighted_CPVAE,10,CPVAE1,1h,st,-0.0705973953008651,8,1,weighted CPVAE 1,0.0705973953008651
weighted_CPVAE,10,CPVAE1,1h,SI1,-0.0957277342677116,8,1,weighted CPVAE 1,0.0957277342677116
weighted_CPVAE,10,CPVAE1,1h,SI2,-0.0728497430682182,8,1,weighted CPVAE 1,0.0728497430682182
weighted_CPVAE,10,CPVAE1,1h,SI3,-0.0342803969979286,8,1,weighted CPVAE 1,0.0342803969979286
weighted_CPVAE,10,CPVAE1,1h,SI4,-0.0617671534419059,8,1,weighted CPVAE 1,0.0617671534419059
weighted_CPVAE,10,CPVAE1,1h,SI5,-0.0575726926326751,8,1,weighted CPVAE 1,0.0575726926326751
weighted_CPVAE,10,CPVAE1,1h,SI6,-0.038183569908142,8,1,weighted CPVAE 1,0.038183569908142
weighted_CPVAE,10,CPVAE1,1h,SI7,-0.0455694086849689,8,1,weighted CPVAE 1,0.0455694086849689
weighted_CPVAE,10,CPVAE1,1h,SI8,-0.0293011255562305,8,1,weighted CPVAE 1,0.0293011255562305
weighted_CPVAE,10,CPVAE1,1h,SI9,-0.0357569195330143,8,1,weighted CPVAE 1,0.0357569195330143
weighted_CPVAE,10,CPVAE1,1h,ce,-0.0556652285158634,8,1,weighted CPVAE 1,0.0556652285158634
weighted_CPVAE,10,CPVAE1,1h,co,-0.0394787974655628,8,1,weighted CPVAE 1,0.0394787974655628
weighted_CPVAE,10,CPVAE1,3h,st,-0.0587570518255233,8,1,weighted CPVAE 1,0.0587570518255233
weighted_CPVAE,10,CPVAE1,3h,SI1,-0.0796726197004318,8,1,weighted CPVAE 1,0.0796726197004318
weighted_CPVAE,10,CPVAE1,3h,SI2,-0.0606316439807415,8,1,weighted CPVAE 1,0.0606316439807415
weighted_CPVAE,10,CPVAE1,3h,SI3,-0.0285310111939907,8,1,weighted CPVAE 1,0.0285310111939907
weighted_CPVAE,10,CPVAE1,3h,SI4,-0.0514077842235565,8,1,weighted CPVAE 1,0.0514077842235565
weighted_CPVAE,10,CPVAE1,3h,SI5,-0.0479168072342872,8,1,weighted CPVAE 1,0.0479168072342872
weighted_CPVAE,10,CPVAE1,3h,SI6,-0.0317795574665069,8,1,weighted CPVAE 1,0.0317795574665069
weighted_CPVAE,10,CPVAE1,3h,SI7,-0.0379266664385795,8,1,weighted CPVAE 1,0.0379266664385795
weighted_CPVAE,10,CPVAE1,3h,SI8,-0.0243868436664342,8,1,weighted CPVAE 1,0.0243868436664342
weighted_CPVAE,10,CPVAE1,3h,SI9,-0.0297598969191312,8,1,weighted CPVAE 1,0.0297598969191312
weighted_CPVAE,10,CPVAE1,3h,ce,-0.0463292524218559,8,1,weighted CPVAE 1,0.0463292524218559
weighted_CPVAE,10,CPVAE1,3h,co,-0.0328575521707534,8,1,weighted CPVAE 1,0.0328575521707534
weighted_CPVAE,10,CPVAE1,6h,st,0.0116925630718469,8,1,weighted CPVAE 1,0.0116925630718469
weighted_CPVAE,10,CPVAE1,6h,SI1,0.0158547293394804,8,1,weighted CPVAE 1,0.0158547293394804
weighted_CPVAE,10,CPVAE1,6h,SI2,0.0120656043291091,8,1,weighted CPVAE 1,0.0120656043291091
weighted_CPVAE,10,CPVAE1,6h,SI3,0.0056776273995637,8,1,weighted CPVAE 1,0.0056776273995637
weighted_CPVAE,10,CPVAE1,6h,SI4,0.0102300709113478,8,1,weighted CPVAE 1,0.0102300709113478
weighted_CPVAE,10,CPVAE1,6h,SI5,0.00953537132591,8,1,weighted CPVAE 1,0.00953537132591
weighted_CPVAE,10,CPVAE1,6h,SI6,0.0063240830786526,8,1,weighted CPVAE 1,0.0063240830786526
weighted_CPVAE,10,CPVAE1,6h,SI7,0.0075473487377166,8,1,weighted CPVAE 1,0.0075473487377166
weighted_CPVAE,10,CPVAE1,6h,SI8,0.0048529445193707,8,1,weighted CPVAE 1,0.0048529445193707
weighted_CPVAE,10,CPVAE1,6h,SI9,0.0059221740812063,8,1,weighted CPVAE 1,0.0059221740812063
weighted_CPVAE,10,CPVAE1,6h,ce,0.0092194499447941,8,1,weighted CPVAE 1,0.0092194499447941
weighted_CPVAE,10,CPVAE1,6h,co,0.0065386029891669,8,1,weighted CPVAE 1,0.0065386029891669
weighted_CPVAE,10,CPVAE1,12h,st,0.0583492368459701,8,1,weighted CPVAE 1,0.0583492368459701
weighted_CPVAE,10,CPVAE1,12h,SI1,0.0791196376085281,8,1,weighted CPVAE 1,0.0791196376085281
weighted_CPVAE,10,CPVAE1,12h,SI2,0.0602108165621757,8,1,weighted CPVAE 1,0.0602108165621757
weighted_CPVAE,10,CPVAE1,12h,SI3,0.0283329859375953,8,1,weighted CPVAE 1,0.0283329859375953
weighted_CPVAE,10,CPVAE1,12h,SI4,0.0510509796440601,8,1,weighted CPVAE 1,0.0510509796440601
weighted_CPVAE,10,CPVAE1,12h,SI5,0.047584231942892,8,1,weighted CPVAE 1,0.047584231942892
weighted_CPVAE,10,CPVAE1,12h,SI6,0.031558983027935,8,1,weighted CPVAE 1,0.031558983027935
weighted_CPVAE,10,CPVAE1,12h,SI7,0.0376634299755096,8,1,weighted CPVAE 1,0.0376634299755096
weighted_CPVAE,10,CPVAE1,12h,SI8,0.0242175832390785,8,1,weighted CPVAE 1,0.0242175832390785
weighted_CPVAE,10,CPVAE1,12h,SI9,0.0295533426105976,8,1,weighted CPVAE 1,0.0295533426105976
weighted_CPVAE,10,CPVAE1,12h,ce,0.0460076965391635,8,1,weighted CPVAE 1,0.0460076965391635
weighted_CPVAE,10,CPVAE1,12h,co,0.0326295010745525,8,1,weighted CPVAE 1,0.0326295010745525
weighted_CPVAE,10,CPVAE1,24h,st,0.0516540519893169,8,1,weighted CPVAE 1,0.0516540519893169
weighted_CPVAE,10,CPVAE1,24h,SI1,0.070041187107563,8,1,weighted CPVAE 1,0.070041187107563
weighted_CPVAE,10,CPVAE1,24h,SI2,0.0533020310103893,8,1,weighted CPVAE 1,0.0533020310103893
weighted_CPVAE,10,CPVAE1,24h,SI3,0.0250819660723209,8,1,weighted CPVAE 1,0.0250819660723209
weighted_CPVAE,10,CPVAE1,24h,SI4,0.0451932214200496,8,1,weighted CPVAE 1,0.0451932214200496
weighted_CPVAE,10,CPVAE1,24h,SI5,0.0421242602169513,8,1,weighted CPVAE 1,0.0421242602169513
weighted_CPVAE,10,CPVAE1,24h,SI6,0.0279378034174442,8,1,weighted CPVAE 1,0.0279378034174442
weighted_CPVAE,10,CPVAE1,24h,SI7,0.0333418063819408,8,1,weighted CPVAE 1,0.0333418063819408
weighted_CPVAE,10,CPVAE1,24h,SI8,0.0214387774467468,8,1,weighted CPVAE 1,0.0214387774467468
weighted_CPVAE,10,CPVAE1,24h,SI9,0.0261622946709394,8,1,weighted CPVAE 1,0.0261622946709394
weighted_CPVAE,10,CPVAE1,24h,ce,0.0407286211848259,8,1,weighted CPVAE 1,0.0407286211848259
weighted_CPVAE,10,CPVAE1,24h,co,0.0288854837417602,8,1,weighted CPVAE 1,0.0288854837417602
PCA,10,PC2,1h,st,0.4951475184979731,8,2,PCA 2,0.4951475184979731
PCA,10,PC2,1h,SI1,0.8250354400737413,8,2,PCA 2,0.8250354400737413
PCA,10,PC2,1h,SI2,0.1898519488907101,8,2,PCA 2,0.1898519488907101
PCA,10,PC2,1h,SI3,-0.2698718364259952,8,2,PCA 2,0.2698718364259952
PCA,10,PC2,1h,SI4,-0.3992267220469103,8,2,PCA 2,0.3992267220469103
PCA,10,PC2,1h,SI5,-0.4227895670685397,8,2,PCA 2,0.4227895670685397
PCA,10,PC2,1h,SI6,-0.4482353382953596,8,2,PCA 2,0.4482353382953596
PCA,10,PC2,1h,SI7,-0.3920453002568268,8,2,PCA 2,0.3920453002568268
PCA,10,PC2,1h,SI8,-0.3187889401963728,8,2,PCA 2,0.3187889401963728
PCA,10,PC2,1h,SI9,-0.16294779340384,8,2,PCA 2,0.16294779340384
PCA,10,PC2,1h,ce,0.5883942479878246,8,2,PCA 2,0.5883942479878246
PCA,10,PC2,1h,co,0.6368633325666503,8,2,PCA 2,0.6368633325666503
PCA,10,PC2,3h,st,0.7834782874186179,8,2,PCA 2,0.7834782874186179
PCA,10,PC2,3h,SI1,0.931904025770906,8,2,PCA 2,0.931904025770906
PCA,10,PC2,3h,SI2,0.97604508969946,8,2,PCA 2,0.97604508969946
PCA,10,PC2,3h,SI3,0.9945669398609788,8,2,PCA 2,0.9945669398609788
PCA,10,PC2,3h,SI4,0.7539508223067829,8,2,PCA 2,0.7539508223067829
PCA,10,PC2,3h,SI5,0.7425224016942766,8,2,PCA 2,0.7425224016942766
PCA,10,PC2,3h,SI6,-0.0969504428370855,8,2,PCA 2,0.0969504428370855
PCA,10,PC2,3h,SI7,0.1228217353607131,8,2,PCA 2,0.1228217353607131
PCA,10,PC2,3h,SI8,0.201582175716674,8,2,PCA 2,0.201582175716674
PCA,10,PC2,3h,SI9,0.165480130825586,8,2,PCA 2,0.165480130825586
PCA,10,PC2,3h,ce,-0.33724275012602,8,2,PCA 2,0.33724275012602
PCA,10,PC2,3h,co,-0.3787215565144853,8,2,PCA 2,0.3787215565144853
PCA,10,PC2,6h,st,0.7707440970640805,8,2,PCA 2,0.7707440970640805
PCA,10,PC2,6h,SI1,0.7783501981040047,8,2,PCA 2,0.7783501981040047
PCA,10,PC2,6h,SI2,0.8728669379701515,8,2,PCA 2,0.8728669379701515
PCA,10,PC2,6h,SI3,0.9865431675860202,8,2,PCA 2,0.9865431675860202
PCA,10,PC2,6h,SI4,0.4670271953294521,8,2,PCA 2,0.4670271953294521
PCA,10,PC2,6h,SI5,-0.0024238338156503,8,2,PCA 2,0.0024238338156503
PCA,10,PC2,6h,SI6,-0.7189196697944442,8,2,PCA 2,0.7189196697944442
PCA,10,PC2,6h,SI7,-0.7342509186461316,8,2,PCA 2,0.7342509186461316
PCA,10,PC2,6h,SI8,-0.6049250795752761,8,2,PCA 2,0.6049250795752761
PCA,10,PC2,6h,SI9,-0.6359192823180037,8,2,PCA 2,0.6359192823180037
PCA,10,PC2,6h,ce,-0.4757069984958709,8,2,PCA 2,0.4757069984958709
PCA,10,PC2,6h,co,-0.3892739999258756,8,2,PCA 2,0.3892739999258756
PCA,10,PC2,12h,st,0.6329521928122493,8,2,PCA 2,0.6329521928122493
PCA,10,PC2,12h,SI1,0.8925803769598076,8,2,PCA 2,0.8925803769598076
PCA,10,PC2,12h,SI2,0.7949989780696849,8,2,PCA 2,0.7949989780696849
PCA,10,PC2,12h,SI3,0.7535909467920683,8,2,PCA 2,0.7535909467920683
PCA,10,PC2,12h,SI4,-0.0612158750145618,8,2,PCA 2,0.0612158750145618
PCA,10,PC2,12h,SI5,-0.5640460043723025,8,2,PCA 2,0.5640460043723025
PCA,10,PC2,12h,SI6,-0.7692531974491796,8,2,PCA 2,0.7692531974491796
PCA,10,PC2,12h,SI7,-0.7705129809708575,8,2,PCA 2,0.7705129809708575
PCA,10,PC2,12h,SI8,-0.7009817246629041,8,2,PCA 2,0.7009817246629041
PCA,10,PC2,12h,SI9,-0.7279875478897979,8,2,PCA 2,0.7279875478897979
PCA,10,PC2,12h,ce,-0.5149150589731302,8,2,PCA 2,0.5149150589731302
PCA,10,PC2,12h,co,-0.41917979753565,8,2,PCA 2,0.41917979753565
PCA,10,PC2,24h,st,-0.0162358949223881,8,2,PCA 2,0.0162358949223881
PCA,10,PC2,24h,SI1,0.0339658304815233,8,2,PCA 2,0.0339658304815233
PCA,10,PC2,24h,SI2,-0.1317389098137207,8,2,PCA 2,0.1317389098137207
