Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
PCA,PC7,7,PCA 7,co,0.4161507384710948,-0.2567614235119392,0.6340042053136176
PCA,PC7,7,PCA 7,st,0.210212947538631,0.11952636750797344,0.32025869578054367
PCA,PC8,8,PCA 8,SI1,0.6858212024231367,0.6858212024231367,0.9873789313868434
PCA,PC8,8,PCA 8,SI2,0.40280489950580567,0.374859999864512,0.5799194743851649
PCA,PC8,8,PCA 8,SI3,0.6084850864807423,0.37709571872861786,0.8760378832433683
PCA,PC8,8,PCA 8,SI4,0.6945876406941887,0.3493003879016581,1.0
PCA,PC8,8,PCA 8,SI5,0.6181681001683997,0.09203246489355903,0.889978548352209
PCA,PC8,8,PCA 8,SI6,0.4631725826773576,-0.3797417228503655,0.6668310167662227
PCA,PC8,8,PCA 8,SI7,0.5179781906838951,-0.37330173627799096,0.7457348221258506
PCA,PC8,8,PCA 8,SI8,0.41168349007413757,-0.3610206760992075,0.592702009011693
PCA,PC8,8,PCA 8,SI9,0.38991540175139894,-0.38991540175139894,0.5613624241308232
PCA,PC8,8,PCA 8,ce,0.37212115996173295,-0.2411410447864454,0.5357439985396595
PCA,PC8,8,PCA 8,co,0.4280065764010774,-0.28151509706787115,0.6162024074792299
PCA,PC8,8,PCA 8,st,0.1726846313602245,0.14752590502179602,0.24861460418103473
VAE,VAE1,1,VAE 1,SI1,0.02451888471841808,0.02451888471841808,0.34844569984478213
VAE,VAE1,1,VAE 1,SI2,0.01650952473282808,0.0064609132707118795,0.23462212762531287
VAE,VAE1,1,VAE 1,SI3,0.01571516990661616,-0.01030843257904052,0.22333329754502076
VAE,VAE1,1,VAE 1,SI4,0.03523333370685572,0.02745185196399688,0.5007121556441732
VAE,VAE1,1,VAE 1,SI5,0.039230120182037295,0.02699922323226926,0.5575117644546288
VAE,VAE1,1,VAE 1,SI6,0.02656096220016476,0.011113464832305879,0.37746631499250083
VAE,VAE1,1,VAE 1,SI7,0.015098232030868481,0.00985187888145444,0.214565796398683
VAE,VAE1,1,VAE 1,SI8,0.02035337984561916,-0.00707769691944124,0.28924838001240943
VAE,VAE1,1,VAE 1,SI9,0.027959974110126462,-0.007788594067096741,0.39734811996267577
VAE,VAE1,1,VAE 1,ce,0.02883936464786524,0.003530743718147321,0.40984541969218147
VAE,VAE1,1,VAE 1,co,0.01933908760547634,-0.00699085891246794,0.2748339491146529
VAE,VAE1,1,VAE 1,st,0.0703664436936378,-0.0703664436936378,1.0
VAE,VAE2,2,VAE 2,SI1,0.01024793982505792,0.00921524167060852,0.4984828666347629
VAE,VAE2,2,VAE 2,SI2,0.00920177102088922,-0.0006303071975707799,0.44759486051955055
VAE,VAE2,2,VAE 2,SI3,0.005286619067192042,0.0035239011049270777,0.2571530544096448
VAE,VAE2,2,VAE 2,SI4,0.00877492576837532,0.00446792691946028,0.42683214638238337
